Generation,Fitness_value,Chromatic_number
0,33,5
1,26,5
2,23,5
4,19,5
6,17,5
15,16,5
17,15,5
22,12,5
31,10,5
33,9,5
36,8,5
39,7,5
44,6,5
78,4,5
81,3,5
98,0,5
0,31,5
1,24,5
3,19,5
4,18,5
5,16,5
7,13,5
13,12,5
18,11,5
27,10,5
41,9,5
48,8,5
50,7,5
57,6,5
61,4,5
183,2,5
191,0,5
0,30,5
1,28,5
2,21,5
3,20,5
4,19,5
7,18,5
9,17,5
13,15,5
14,13,5
15,11,5
22,9,5
42,8,5
57,7,5
69,6,5
157,5,5
158,3,5
169,2,5
177,0,5
0,31,5
1,25,5
2,23,5
3,19,5
6,18,5
8,17,5
10,14,5
16,13,5
24,11,5
32,10,5
39,8,5
45,7,5
63,6,5
66,5,5
70,4,5
71,3,5
76,0,5
0,31,5
1,21,5
3,20,5
5,19,5
7,12,5
8,9,5
16,8,5
19,7,5
21,6,5
25,5,5
26,4,5
30,3,5
33,2,5
37,0,5
0,30,5
1,23,5
3,19,5
7,16,5
8,13,5
14,12,5
17,10,5
26,9,5
31,8,5
42,7,5
58,5,5
98,4,5
102,3,5
105,0,5
0,30,5
1,23,5
2,21,5
3,20,5
6,17,5
10,16,5
11,15,5
12,13,5
14,12,5
30,11,5
32,10,5
37,8,5
48,7,5
62,6,5
68,5,5
70,4,5
96,3,5
103,2,5
118,0,5
0,31,5
1,21,5
4,15,5
14,14,5
16,13,5
24,12,5
25,10,5
30,8,5
34,7,5
38,6,5
52,5,5
57,4,5
71,3,5
73,0,5
0,30,5
1,25,5
2,20,5
5,18,5
6,17,5
9,16,5
11,14,5
12,10,5
18,9,5
25,8,5
34,7,5
39,6,5
272,4,5
283,3,5
303,2,5
306,0,5
1,23,5
2,15,5
4,13,5
7,11,5
11,8,5
28,7,5
53,6,5
67,5,5
75,4,5
124,3,5
127,2,5
130,0,5
0,29,5
1,22,5
2,19,5
5,16,5
11,14,5
14,13,5
18,10,5
24,9,5
25,6,5
37,5,5
40,4,5
41,3,5
46,0,5
0,29,5
1,23,5
2,20,5
5,19,5
7,18,5
9,16,5
12,15,5
15,14,5
16,12,5
22,11,5
31,9,5
37,8,5
45,7,5
159,6,5
348,5,5
355,4,5
370,3,5
374,2,5
381,0,5
0,32,5
1,22,5
2,20,5
4,16,5
6,15,5
7,13,5
18,11,5
20,9,5
29,8,5
32,7,5
34,6,5
37,5,5
43,2,5
75,0,5
0,25,5
2,20,5
3,19,5
6,18,5
7,17,5
10,15,5
11,14,5
17,13,5
18,12,5
25,11,5
27,10,5
29,8,5
31,6,5
34,5,5
35,4,5
39,3,5
56,0,5
0,30,5
1,25,5
2,23,5
3,18,5
6,17,5
9,16,5
11,14,5
13,11,5
25,10,5
28,9,5
30,8,5
35,7,5
43,6,5
