Generation,Fitness_value,Chromatic_number
0,34,7
1,20,7
2,15,7
4,14,7
7,10,7
11,9,7
13,7,7
15,4,7
133,3,7
169,2,7
0,40,7
1,24,7
2,21,7
3,17,7
5,15,7
6,12,7
9,10,7
18,6,7
33,4,7
105,3,7
117,2,7
407,1,7
452,0,7
0,37,7
1,24,7
4,20,7
5,19,7
8,18,7
11,15,7
14,14,7
15,11,7
35,10,7
40,9,7
44,6,7
61,5,7
62,4,7
338,3,7
347,2,7
0,40,7
1,25,7
2,16,7
6,13,7
9,8,7
30,7,7
36,5,7
52,4,7
250,3,7
296,2,7
0,39,7
1,28,7
2,19,7
6,16,7
8,15,7
11,10,7
23,9,7
25,8,7
26,7,7
30,5,7
35,4,7
0,37,7
1,26,7
2,19,7
4,18,7
8,11,7
14,7,7
18,4,7
61,3,7
0,38,7
1,23,7
2,22,7
3,20,7
4,17,7
5,14,7
6,10,7
17,8,7
37,4,7
78,3,7
95,2,7
434,1,7
0,31,7
1,24,7
2,22,7
3,18,7
6,17,7
7,16,7
8,15,7
10,14,7
13,11,7
19,8,7
22,7,7
29,6,7
34,5,7
59,4,7
72,3,7
82,2,7
1,21,7
2,15,7
12,14,7
13,10,7
17,8,7
23,7,7
29,6,7
33,5,7
68,4,7
129,3,7
464,2,7
0,38,7
1,25,7
2,17,7
8,16,7
9,15,7
11,13,7
13,12,7
14,11,7
15,9,7
19,5,7
34,4,7
167,3,7
416,2,7
0,36,7
1,24,7
2,23,7
3,18,7
5,15,7
8,13,7
12,11,7
23,9,7
26,5,7
32,4,7
0,36,7
1,23,7
2,18,7
3,16,7
7,15,7
12,13,7
19,11,7
27,10,7
31,9,7
34,5,7
37,4,7
351,2,7
434,1,7
1,26,7
2,19,7
6,18,7
7,16,7
9,15,7
12,14,7
16,13,7
18,12,7
23,11,7
24,9,7
29,7,7
33,6,7
34,5,7
107,4,7
117,2,7
209,1,7
0,38,7
1,21,7
2,17,7
3,16,7
6,12,7
10,11,7
28,10,7
30,8,7
45,3,7
0,36,7
1,24,7
2,23,7
4,21,7
5,18,7
7,16,7
9,14,7
12,12,7
15,11,7
20,10,7
22,9,7
28,8,7
38,5,7
48,4,7
56,3,7
72,2,7
0,38,7
1,24,7
2,22,7
3,19,7
6,18,7
7,17,7
10,16,7
11,12,7
21,11,7
27,10,7
30,7,7
45,6,7
47,4,7
291,2,7
0,38,7
1,26,7
2,22,7
3,19,7
4,17,7
7,15,7
9,14,7
12,12,7
13,11,7
15,10,7
22,8,7
27,7,7
30,6,7
36,5,7
44,4,7
49,3,7
67,2,7
0,38,7
1,27,7
2,23,7
3,17,7
4,16,7
5,14,7
7,13,7
8,11,7
12,8,7
24,6,7
29,5,7
31,4,7
37,3,7
165,2,7
0,40,7
1,25,7
2,17,7
5,15,7
11,13,7
12,12,7
13,11,7
16,10,7
27,9,7
35,7,7
37,6,7
46,5,7
48,4,7
56,3,7
69,2,7
0,35,7
1,25,7
2,21,7
3,20,7
4,17,7
8,16,7
10,15,7
12,12,7
32,9,7
39,8,7
41,7,7
42,6,7
45,5,7
47,4,7
76,3,7
178,2,7
303,1,7
0,35,7
1,22,7
3,17,7
5,16,7
10,14,7
12,12,7
15,10,7
24,9,7
28,8,7
30,7,7
34,6,7
38,5,7
45,4,7
99,3,7
0,39,7
1,21,7
2,15,7
7,13,7
8,12,7
9,6,7
11,4,7
25,3,7
58,2,7
139,1,7
0,36,7
1,21,7
3,14,7
9,10,7
22,5,7
30,3,7
35,2,7
0,36,7
1,25,7
2,17,7
3,16,7
7,7,7
10,5,7
11,3,7
0,36,7
1,26,7
2,24,7
3,18,7
5,17,7
6,15,7
8,11,7
19,10,7
26,8,7
29,6,7
31,5,7
45,4,7
135,3,7
171,2,7
263,1,7
0,36,7
1,26,7
2,18,7
3,16,7
8,15,7
10,13,7
11,11,7
25,10,7
29,8,7
31,6,7
34,5,7
35,3,7
496,2,7
0,36,7
1,22,7
2,21,7
3,14,7
5,13,7
7,12,7
14,11,7
16,10,7
17,9,7
22,8,7
29,6,7
34,5,7
36,3,7
41,2,7
0,36,7
1,22,7
2,21,7
3,19,7
4,18,7
8,17,7
10,15,7
16,14,7
18,11,7
21,10,7
23,9,7
24,7,7
30,5,7
33,4,7
151,3,7
182,2,7
0,36,7
1,21,7
3,19,7
5,14,7
10,12,7
11,11,7
20,9,7
22,8,7
28,7,7
30,5,7
32,4,7
41,3,7
53,2,7
0,38,7
1,22,7
2,21,7
3,19,7
4,18,7
5,15,7
6,10,7
21,8,7
45,7,7
47,6,7
65,5,7
70,4,7
83,3,7
