Generation,Fitness_value,Chromatic_number
0,4,22
2,3,22
2,2,22
3,1,22
8,0,22
0,9,21
0,8,21
0,7,21
0,6,21
0,5,21
1,3,21
1,2,21
1,1,21
1,0,21
0,8,20
0,6,20
1,2,20
1,1,20
1,0,20
0,10,19
0,9,19
0,8,19
0,7,19
1,3,19
1,2,19
1,1,19
7,0,19
0,14,18
0,8,18
0,7,18
1,3,18
1,2,18
1,1,18
8,0,18
0,10,17
0,9,17
0,7,17
1,1,17
14,0,17
0,11,16
0,7,16
1,6,16
1,5,16
1,3,16
1,2,16
2,1,16
15,0,16
0,12,15
0,10,15
0,8,15
1,6,15
1,4,15
1,2,15
1,1,15
12,0,15
0,11,14
1,9,14
1,4,14
1,2,14
1,1,14
15,0,14
0,12,13
0,10,13
1,6,13
1,4,13
1,3,13
3,1,13
33,0,13
0,24,12
0,14,12
0,13,12
1,8,12
1,6,12
1,5,12
1,4,12
6,3,12
11,2,12
19,1,12
28,0,12
0,19,11
0,18,11
0,17,11
0,16,11
0,15,11
1,13,11
1,11,11
1,10,11
1,7,11
1,5,11
1,4,11
13,3,11
17,1,11
63,0,11
0,25,10
0,20,10
0,18,10
0,17,10
1,10,10
2,9,10
3,8,10
3,6,10
3,5,10
6,4,10
6,3,10
48,2,10
55,1,10
1227,0,10
0,24,9
0,20,9
1,17,9
1,14,9
1,11,9
4,10,9
6,9,9
7,7,9
20,5,9
24,4,9
139,3,9
193,2,9
0,13,22
0,8,22
0,7,22
0,6,22
0,5,22
1,2,22
1,0,22
0,5,21
0,3,21
2,2,21
3,1,21
8,0,21
0,15,20
0,8,20
0,7,20
0,6,20
1,3,20
1,2,20
1,1,20
6,0,20
0,10,19
0,9,19
0,8,19
0,5,19
1,4,19
1,3,19
1,2,19
1,0,19
0,12,18
0,8,18
0,5,18
1,3,18
1,2,18
1,1,18
1,0,18
0,7,17
0,6,17
1,4,17
1,3,17
1,0,17
0,14,16
0,11,16
0,8,16
1,7,16
1,6,16
1,4,16
1,1,16
8,0,16
0,11,15
0,9,15
1,7,15
1,3,15
1,1,15
7,0,15
0,12,14
0,11,14
1,5,14
1,3,14
1,2,14
10,1,14
11,0,14
0,22,13
0,12,13
1,10,13
1,6,13
1,4,13
1,2,13
9,1,13
11,0,13
0,18,12
0,15,12
0,13,12
1,7,12
1,5,12
1,4,12
1,2,12
18,1,12
19,0,12
0,17,11
0,16,11
0,15,11
0,13,11
1,10,11
1,9,11
1,8,11
1,6,11
2,5,11
3,3,11
28,2,11
40,1,11
119,0,11
0,24,10
0,23,10
0,21,10
0,20,10
0,16,10
1,15,10
1,13,10
1,12,10
1,10,10
2,9,10
2,8,10
2,7,10
3,6,10
5,5,10
5,3,10
50,2,10
160,1,10
383,0,10
0,20,9
0,17,9
1,11,9
3,10,9
4,9,9
9,8,9
10,7,9
19,6,9
30,5,9
39,4,9
58,3,9
147,2,9
0,7,22
0,4,22
1,3,22
2,1,22
5,0,22
0,8,21
0,6,21
1,1,21
1,0,21
0,8,20
0,7,20
0,6,20
0,5,20
1,3,20
1,2,20
1,1,20
3,0,20
0,7,19
0,6,19
1,5,19
1,2,19
1,1,19
3,0,19
0,8,18
0,7,18
0,6,18
1,3,18
1,2,18
1,1,18
5,0,18
0,10,17
0,8,17
1,7,17
1,5,17
1,3,17
1,2,17
1,1,17
7,0,17
0,14,16
0,11,16
0,9,16
0,8,16
1,6,16
1,4,16
1,3,16
1,2,16
1,1,16
11,0,16
0,12,15
0,9,15
1,8,15
1,6,15
1,1,15
15,0,15
0,20,14
0,16,14
0,11,14
0,9,14
1,8,14
1,6,14
1,5,14
1,3,14
