Generation,Fitness_value,Chromatic_number
0,41,18
0,24,18
1,23,18
1,16,18
1,14,18
2,13,18
2,9,18
3,8,18
3,7,18
3,5,18
5,3,18
7,2,18
9,1,18
10,0,18
0,36,17
0,24,17
1,15,17
2,13,17
2,12,17
2,9,17
2,5,17
3,3,17
4,2,17
12,1,17
14,0,17
0,38,16
0,36,16
0,30,16
0,28,16
1,19,16
1,18,16
1,15,16
2,13,16
2,12,16
3,11,16
3,9,16
4,6,16
5,5,16
7,4,16
7,2,16
13,1,16
18,0,16
0,32,15
0,31,15
0,29,15
1,27,15
1,26,15
1,23,15
1,22,15
1,19,15
2,18,15
2,14,15
2,13,15
2,12,15
3,11,15
3,9,15
3,8,15
4,3,15
14,2,15
17,1,15
20,0,15
0,38,14
0,34,14
0,33,14
1,31,14
1,23,14
1,21,14
1,18,14
2,15,14
2,13,14
3,9,14
4,7,14
4,6,14
5,5,14
7,2,14
9,1,14
18,0,14
0,43,13
0,42,13
0,38,13
1,30,13
1,27,13
1,23,13
1,20,13
2,18,13
2,12,13
3,10,13
3,6,13
5,5,13
6,3,13
8,2,13
9,1,13
11,0,13
0,65,12
0,57,12
0,56,12
0,51,12
0,47,12
0,46,12
0,43,12
0,37,12
1,35,12
1,28,12
1,27,12
1,22,12
2,13,12
3,11,12
4,10,12
4,7,12
5,6,12
7,5,12
7,4,12
9,2,12
14,1,12
16,0,12
0,64,11
0,60,11
0,57,11
0,55,11
0,54,11
0,46,11
0,42,11
1,37,11
1,32,11
1,26,11
1,21,11
2,20,11
2,14,11
3,13,11
3,12,11
4,11,11
5,10,11
5,7,11
5,6,11
6,5,11
7,3,11
9,2,11
14,1,11
18,0,11
0,58,10
0,56,10
0,55,10
0,50,10
1,44,10
1,42,10
1,37,10
1,35,10
1,32,10
2,28,10
2,10,10
4,9,10
6,8,10
7,4,10
17,3,10
18,2,10
20,1,10
23,0,10
0,73,9
0,70,9
0,66,9
0,61,9
1,49,9
1,48,9
1,43,9
1,32,9
2,29,9
2,27,9
2,26,9
3,24,9
3,23,9
3,22,9
3,18,9
4,17,9
5,11,9
5,9,9
7,6,9
8,5,9
8,4,9
17,2,9
17,1,9
20,0,9
0,76,8
0,69,8
0,61,8
1,59,8
1,58,8
1,47,8
1,44,8
1,41,8
2,39,8
2,36,8
2,35,8
2,33,8
2,31,8
3,29,8
3,26,8
3,23,8
5,21,8
5,20,8
6,19,8
6,18,8
7,15,8
7,14,8
7,11,8
8,10,8
9,9,8
10,6,8
13,5,8
14,3,8
23,1,8
32,0,8
0,110,7
0,104,7
0,96,7
0,92,7
0,91,7
0,85,7
0,84,7
0,83,7
0,78,7
1,72,7
1,70,7
1,69,7
1,67,7
1,66,7
1,58,7
1,53,7
2,51,7
2,50,7
2,43,7
2,42,7
2,40,7
3,39,7
3,38,7
3,35,7
4,30,7
4,26,7
5,25,7
6,20,7
7,18,7
8,13,7
10,12,7
12,7,7
13,5,7
16,4,7
18,2,7
22,0,7
0,120,6
0,111,6
0,108,6
0,105,6
0,99,6
1,98,6
1,96,6
1,91,6
1,88,6
1,77,6
1,70,6
2,68,6
2,67,6
2,53,6
3,52,6
4,50,6
4,49,6
5,46,6
5,44,6
5,41,6
6,33,6
8,29,6
10,28,6
11,26,6
14,23,6
16,22,6
17,19,6
17,17,6
18,15,6
21,11,6
29,10,6
30,6,6
36,5,6
36,4,6
41,3,6
47,2,6
54,1,6
68,0,6
0,149,5
0,143,5
0,141,5
0,134,5
0,121,5
1,115,5
1,113,5
1,103,5
1,101,5
1,91,5
1,86,5
2,84,5
2,79,5
4,75,5
4,72,5
4,71,5
6,69,5
7,68,5
7,63,5
8,60,5
10,57,5
12,53,5
14,52,5
18,48,5
18,42,5
28,41,5
28,40,5
29,35,5
31,33,5
33,30,5
34,29,5
38,28,5
47,27,5
51,25,5
56,24,5
57,23,5
57,17,5
73,16,5
73,15,5
81,13,5
92,12,5
100,11,5
109,10,5
116,9,5
118,8,5
127,7,5
135,6,5
141,5,5
163,4,5
1716,3,5
2764,2,5
0,36,18
0,31,18
0,29,18
0,28,18
0,27,18
0,24,18
0,23,18
0,17,18
1,13,18
2,11,18
2,9,18
4,4,18
8,3,18
10,2,18
11,1,18
14,0,18
0,37,17
0,32,17
0,30,17
0,29,17
0,28,17
0,25,17
1,19,17
1,10,17
2,7,17
4,5,17
6,3,17
9,1,17
12,0,17
0,34,16
0,33,16
0,32,16
0,30,16
0,28,16
0,25,16
1,24,16
1,21,16
1,18,16
1,17,16
1,13,16
2,9,16
4,8,16
4,7,16
5,4,16
6,3,16
10,2,16
17,0,16
0,47,15
0,43,15
0,41,15
0,37,15
0,34,15
0,33,15
0,32,15
1,28,15
1,26,15
1,22,15
1,17,15
2,15,15
2,7,15
4,6,15
4,4,15
4,3,15
8,2,15
12,1,15
14,0,15
0,45,14
0,42,14
0,35,14
0,30,14
1,26,14
1,24,14
1,21,14
2,19,14
2,18,14
2,16,14
2,12,14
3,11,14
3,10,14
3,8,14
4,7,14
4,6,14
5,4,14
9,3,14
9,2,14
11,1,14
15,0,14
0,39,13
0,38,13
0,37,13
1,34,13
1,32,13
1,30,13
1,24,13
1,20,13
2,19,13
2,15,13
2,13,13
3,11,13
3,10,13
5,4,13
10,3,13
12,2,13
14,1,13
17,0,13
0,48,12
0,40,12
0,39,12
1,38,12
1,34,12
1,32,12
1,29,12
1,28,12
1,25,12
2,24,12
2,19,12
2,17,12
2,15,12
3,14,12
3,10,12
4,8,12
5,4,12
6,2,12
8,1,12
13,0,12
0,49,11
0,38,11
1,37,11
1,32,11
1,28,11
1,25,11
2,23,11
2,22,11
2,20,11
3,19,11
3,18,11
3,16,11
3,12,11
4,7,11
7,4,11
7,2,11
8,1,11
11,0,11
0,61,10
0,60,10
0,59,10
0,58,10
0,56,10
0,54,10
0,49,10
1,40,10
1,33,10
1,31,10
1,29,10
2,27,10
2,18,10
2,13,10
4,11,10
5,10,10
6,8,10
6,5,10
7,4,10
20,2,10
23,1,10
32,0,10
0,68,9
0,67,9
0,63,9
0,57,9
1,47,9
1,33,9
2,30,9
2,21,9
3,20,9
3,18,9
4,17,9
4,14,9
4,13,9
5,10,9
6,5,9
9,2,9
19,1,9
22,0,9
0,97,8
0,79,8
0,76,8
0,70,8
1,58,8
1,54,8
1,51,8
1,48,8
1,47,8
1,43,8
2,39,8
2,35,8
2,30,8
3,28,8
3,21,8
4,20,8
5,17,8
6,16,8
7,10,8
9,9,8
9,8,8
11,7,8
12,6,8
12,5,8
14,4,8
14,1,8
34,0,8
0,103,7
0,96,7
0,91,7
0,79,7
1,66,7
1,62,7
1,57,7
1,54,7
2,48,7
2,47,7
2,37,7
3,34,7
3,31,7
