Generation,Fitness_value,Chromatic_number
0,4,14
0,3,14
0,2,14
1,0,14
0,4,13
0,2,13
1,1,13
1,0,13
0,3,12
0,2,12
0,1,12
3,0,12
0,7,11
0,6,11
0,5,11
0,4,11
0,3,11
1,1,11
2,0,11
0,11,10
0,10,10
0,8,10
0,5,10
0,2,10
2,1,10
3,0,10
0,8,9
0,7,9
0,6,9
1,1,9
3,0,9
0,12,8
0,11,8
0,10,8
0,8,8
0,6,8
0,5,8
1,1,8
1,0,8
0,14,7
0,13,7
0,12,7
0,11,7
0,10,7
0,9,7
0,6,7
1,2,7
4,1,7
8,0,7
0,18,6
0,17,6
0,13,6
0,11,6
0,10,6
1,5,6
1,4,6
1,3,6
5,2,6
5,1,6
7,0,6
0,20,5
0,19,5
0,18,5
0,17,5
0,16,5
0,15,5
0,14,5
0,13,5
1,11,5
1,9,5
1,6,5
1,5,5
2,2,5
13,1,5
35,0,5
0,26,4
0,23,4
0,22,4
0,20,4
1,12,4
1,10,4
2,8,4
3,7,4
5,6,4
5,5,4
8,4,4
13,3,4
24,2,4
30,1,4
0,4,14
0,3,14
0,2,14
0,1,14
2,0,14
0,7,13
0,6,13
0,2,13
1,1,13
1,0,13
0,4,12
0,3,12
0,2,12
2,1,12
4,0,12
0,7,11
0,6,11
0,5,11
0,4,11
0,3,11
1,2,11
2,1,11
3,0,11
0,6,10
0,5,10
0,4,10
0,2,10
1,0,10
0,7,9
0,6,9
0,5,9
0,4,9
1,3,9
1,2,9
2,1,9
4,0,9
0,12,8
0,10,8
0,9,8
0,8,8
0,7,8
0,6,8
1,2,8
1,0,8
0,14,7
0,9,7
0,7,7
1,3,7
1,2,7
1,0,7
0,16,6
0,15,6
0,13,6
0,12,6
1,3,6
1,2,6
4,1,6
12,0,6
0,15,5
0,14,5
0,13,5
1,6,5
1,5,5
2,2,5
17,1,5
29,0,5
0,23,4
0,21,4
0,17,4
1,14,4
1,13,4
1,12,4
1,11,4
2,10,4
2,8,4
3,7,4
4,6,4
5,5,4
9,4,4
15,3,4
23,2,4
28,1,4
0,6,14
