Generation,Fitness_value,Chromatic_number
0,8,22
0,6,22
0,5,22
1,2,22
1,1,22
3,0,22
0,13,21
0,7,21
0,6,21
0,5,21
1,3,21
1,2,21
1,0,21
0,8,20
0,7,20
0,6,20
1,4,20
1,3,20
1,1,20
6,0,20
0,10,19
0,7,19
1,3,19
1,2,19
1,1,19
4,0,19
0,15,18
0,13,18
0,10,18
0,9,18
0,7,18
1,2,18
1,1,18
6,0,18
0,13,17
0,12,17
0,11,17
0,10,17
0,9,17
0,8,17
0,7,17
1,6,17
1,3,17
1,2,17
2,1,17
13,0,17
0,14,16
0,12,16
0,11,16
0,10,16
0,9,16
1,5,16
1,4,16
1,3,16
2,2,16
7,1,16
11,0,16
0,13,15
0,10,15
0,9,15
1,8,15
1,5,15
1,3,15
1,2,15
11,1,15
18,0,15
0,15,14
0,14,14
0,8,14
1,3,14
1,2,14
12,1,14
13,0,14
0,16,13
0,11,13
1,5,13
1,4,13
14,3,13
19,2,13
28,1,13
28,0,13
0,17,12
0,15,12
0,12,12
1,10,12
1,7,12
1,6,12
1,5,12
2,3,12
22,1,12
40,0,12
0,16,11
0,15,11
1,11,11
1,10,11
1,7,11
2,5,11
4,2,11
42,1,11
49,0,11
0,20,10
0,18,10
0,15,10
1,14,10
1,13,10
1,12,10
1,11,10
1,9,10
2,6,10
4,5,10
5,4,10
9,3,10
12,2,10
31,1,10
80,0,10
0,26,9
0,22,9
0,21,9
0,20,9
1,19,9
1,17,9
1,13,9
1,12,9
2,11,9
2,10,9
3,9,9
7,8,9
9,6,9
17,5,9
19,4,9
52,3,9
65,2,9
0,6,22
0,5,22
1,4,22
1,2,22
1,1,22
3,0,22
0,7,21
0,6,21
0,4,21
1,3,21
2,2,21
3,1,21
7,0,21
0,8,20
0,5,20
1,4,20
1,3,20
1,1,20
4,0,20
1,3,19
1,1,19
9,0,19
0,6,18
1,5,18
1,4,18
1,3,18
1,1,18
5,0,18
0,16,17
0,10,17
0,9,17
0,8,17
0,7,17
1,6,17
1,2,17
1,1,17
10,0,17
0,10,16
0,9,16
1,5,16
1,3,16
1,2,16
2,1,16
7,0,16
0,9,15
1,8,15
1,7,15
1,4,15
1,3,15
1,2,15
8,1,15
14,0,15
0,18,14
0,14,14
0,13,14
0,12,14
0,9,14
1,7,14
1,5,14
1,4,14
1,3,14
1,2,14
8,1,14
12,0,14
0,19,13
0,12,13
0,11,13
1,6,13
1,5,13
1,4,13
1,2,13
9,1,13
13,0,13
0,13,12
0,12,12
1,8,12
1,7,12
1,5,12
1,4,12
3,3,12
10,2,12
15,1,12
22,0,12
0,25,11
0,23,11
0,17,11
0,15,11
0,12,11
1,9,11
1,7,11
1,6,11
2,5,11
2,4,11
22,3,11
22,2,11
30,1,11
43,0,11
0,20,10
0,19,10
1,16,10
1,10,10
1,9,10
1,6,10
4,5,10
6,4,10
16,3,10
24,2,10
39,1,10
0,8,22
0,7,22
0,6,22
0,5,22
1,4,22
1,2,22
1,1,22
3,0,22
0,11,21
0,8,21
0,6,21
0,5,21
1,3,21
1,2,21
1,1,21
2,0,21
1,3,20
1,2,20
1,1,20
8,0,20
0,7,19
1,6,19
1,0,19
0,14,18
0,12,18
0,11,18
0,10,18
0,9,18
0,8,18
0,6,18
0,5,18
1,3,18
1,2,18
1,0,18
0,10,17
0,9,17
0,6,17
1,4,17
1,3,17
1,2,17
1,0,17
0,13,16
0,10,16
0,9,16
1,5,16
1,4,16
1,3,16
1,1,16
8,0,16
0,12,15
0,11,15
0,8,15
1,7,15
1,5,15
1,4,15
1,2,15
8,1,15
13,0,15
0,13,14
0,12,14
0,11,14
0,10,14
0,9,14
1,7,14
1,5,14
1,4,14
1,3,14
2,2,14
4,1,14
19,0,14
0,15,13
0,14,13
0,13,13
0,10,13
1,8,13
1,7,13
1,6,13
1,5,13
1,2,13
5,1,13
17,0,13
0,16,12
0,13,12
0,11,12
1,10,12
1,6,12
1,2,12
23,0,12
0,30,11
0,23,11
0,22,11
0,19,11
0,18,11
0,17,11
0,16,11
0,15,11
1,14,11
1,13,11
1,11,11
1,10,11
1,9,11
1,8,11
1,6,11
2,5,11
3,4,11
5,3,11
17,2,11
26,1,11
38,0,11
0,21,10
0,19,10
0,18,10
0,17,10
1,14,10
1,13,10
1,12,10
1,9,10
2,6,10
5,5,10
7,4,10
38,3,10
55,2,10
76,1,10
0,5,22
1,2,22
1,1,22
1,0,22
0,5,21
1,2,21
1,1,21
1,0,21
0,10,20
0,6,20
1,1,20
5,0,20
0,9,19
0,8,19
0,7,19
1,4,19
1,3,19
1,1,19
7,0,19
0,13,18
0,11,18
0,10,18
0,9,18
0,7,18
0,6,18
1,5,18
1,3,18
1,1,18
11,0,18
0,11,17
0,10,17
0,9,17
0,8,17
0,7,17
1,2,17
7,1,17
13,0,17
0,11,16
0,10,16
0,8,16
0,7,16
1,5,16
1,3,16
1,2,16
2,1,16
13,0,16
0,11,15
0,10,15
0,9,15
1,1,15
14,0,15
0,17,14
0,15,14
0,14,14
0,11,14
0,10,14
1,8,14
1,5,14
1,3,14
1,2,14
7,0,14
0,12,13
0,10,13
1,9,13
1,8,13
1,4,13
4,3,13
5,2,13
17,1,13
26,0,13
0,14,12
1,8,12
1,6,12
1,5,12
2,3,12
11,2,12
14,1,12
19,0,12
0,19,11
0,17,11
0,16,11
0,15,11
1,6,11
2,4,11
9,3,11
18,2,11
24,1,11
32,0,11
0,23,10
0,22,10
0,21,10
0,16,10
1,15,10
1,10,10
2,8,10
3,5,10
7,3,10
25,1,10
300,0,10
0,29,9
0,25,9
0,24,9
0,17,9
1,14,9
1,13,9
2,10,9
5,6,9
19,5,9
21,4,9
55,3,9
300,2,9
0,9,22
0,5,22
1,4,22
1,3,22
1,1,22
5,0,22
0,8,21
0,6,21
0,5,21
1,3,21
1,2,21
1,1,21
3,0,21
0,9,20
0,8,20
0,5,20
1,4,20
1,3,20
1,2,20
1,1,20
6,0,20
0,14,19
0,11,19
0,10,19
0,7,19
0,6,19
1,3,19
1,1,19
5,0,19
0,15,18
0,13,18
0,12,18
0,9,18
0,8,18
0,7,18
1,6,18
1,4,18
1,2,18
1,0,18
0,7,17
1,6,17
1,4,17
1,2,17
4,1,17
10,0,17
0,14,16
0,12,16
0,10,16
0,8,16
1,1,16
6,0,16
0,9,15
1,3,15
1,1,15
9,0,15
0,16,14
0,12,14
0,11,14
0,10,14
1,6,14
1,3,14
2,2,14
10,0,14
0,13,13
0,12,13
1,11,13
1,8,13
1,6,13
1,4,13
1,2,13
9,1,13
13,0,13
0,17,12
0,16,12
0,12,12
1,10,12
1,5,12
2,4,12
7,3,12
13,1,12
28,0,12
0,20,11
0,19,11
0,15,11
0,14,11
1,11,11
1,9,11
1,6,11
2,5,11
4,4,11
4,2,11
36,1,11
42,0,11
0,20,10
0,18,10
0,15,10
1,12,10
1,11,10
1,10,10
3,9,10
3,8,10
4,7,10
7,6,10
8,5,10
10,4,10
16,2,10
25,0,10
0,27,9
0,26,9
0,23,9
0,21,9
0,19,9
1,18,9
1,17,9
1,13,9
1,12,9
2,9,9
8,6,9
27,5,9
29,4,9
48,3,9
82,2,9
0,8,22
0,7,22
0,6,22
0,5,22
0,4,22
1,2,22
2,1,22
7,0,22
0,7,21
0,6,21
0,4,21
1,3,21
1,2,21
4,1,21
10,0,21
0,8,20
0,7,20
0,6,20
1,3,20
1,2,20
1,1,20
3,0,20
0,11,19
0,9,19
0,6,19
1,3,19
1,1,19
6,0,19
0,12,18
0,11,18
0,8,18
0,7,18
1,3,18
1,2,18
1,1,18
4,0,18
0,10,17
0,6,17
0,5,17
1,4,17
1,3,17
1,2,17
1,1,17
1,0,17
0,12,16
0,10,16
0,9,16
1,4,16
1,3,16
1,2,16
1,1,16
1,0,16
0,15,15
0,12,15
0,11,15
0,10,15
0,9,15
1,4,15
1,3,15
1,2,15
9,1,15
16,0,15
0,14,14
0,13,14
0,11,14
0,9,14
1,3,14
4,2,14
15,1,14
17,0,14
0,18,13
0,12,13
0,11,13
0,10,13
1,6,13
1,3,13
7,2,13
12,1,13
20,0,13
0,20,12
0,15,12
0,14,12
1,13,12
1,8,12
1,6,12
1,5,12
1,4,12
17,3,12
17,2,12
34,1,12
45,0,12
0,14,11
1,10,11
1,6,11
2,5,11
3,4,11
5,2,11
38,1,11
55,0,11
0,26,10
0,17,10
1,11,10
2,10,10
3,9,10
3,8,10
5,7,10
5,6,10
6,4,10
8,3,10
23,2,10
103,1,10
192,0,10
0,20,9
0,18,9
1,17,9
1,12,9
2,7,9
5,5,9
18,4,9
79,3,9
87,2,9
0,10,22
0,9,22
0,5,22
0,3,22
1,1,22
3,0,22
0,6,21
0,5,21
0,4,21
1,2,21
5,1,21
13,0,21
0,12,20
0,10,20
0,9,20
0,8,20
0,7,20
1,3,20
1,1,20
5,0,20
0,7,19
0,5,19
1,4,19
1,3,19
1,2,19
1,0,19
0,10,18
0,6,18
1,3,18
1,1,18
5,0,18
0,12,17
0,11,17
0,8,17
0,7,17
0,6,17
1,0,17
0,11,16
0,9,16
1,5,16
1,2,16
1,1,16
9,0,16
0,13,15
0,12,15
0,11,15
0,10,15
0,9,15
1,6,15
1,3,15
1,1,15
9,0,15
0,13,14
0,10,14
1,4,14
8,3,14
10,2,14
16,1,14
20,0,14
0,16,13
0,15,13
0,14,13
0,11,13
1,5,13
1,4,13
17,3,13
17,1,13
24,0,13
0,22,12
0,18,12
0,16,12
0,15,12
0,13,12
0,12,12
1,8,12
1,7,12
1,6,12
1,5,12
2,4,12
23,3,12
28,2,12
32,1,12
44,0,12
0,21,11
0,20,11
0,15,11
0,14,11
1,13,11
1,12,11
1,8,11
1,7,11
2,6,11
2,5,11
3,3,11
18,2,11
21,1,11
27,0,11
0,25,10
0,21,10
0,20,10
0,19,10
0,18,10
1,14,10
1,12,10
1,9,10
2,7,10
2,6,10
4,5,10
7,4,10
37,3,10
48,2,10
58,1,10
0,12,22
0,7,22
0,6,22
0,5,22
1,3,22
1,2,22
1,1,22
5,0,22
0,10,21
0,9,21
0,8,21
0,7,21
0,6,21
1,1,21
4,0,21
0,11,20
0,9,20
0,7,20
0,6,20
1,5,20
1,2,20
1,1,20
7,0,20
0,9,19
0,8,19
0,7,19
0,5,19
1,2,19
1,1,19
5,0,19
0,6,18
1,5,18
1,4,18
1,3,18
1,2,18
1,0,18
0,10,17
0,8,17
0,7,17
1,4,17
1,3,17
1,1,17
8,0,17
0,14,16
0,13,16
0,12,16
0,10,16
0,9,16
0,8,16
1,5,16
1,3,16
1,1,16
8,0,16
0,10,15
1,1,15
12,0,15
0,14,14
0,13,14
0,12,14
0,11,14
0,10,14
1,7,14
1,5,14
1,4,14
1,3,14
1,2,14
7,1,14
12,0,14
0,12,13
0,11,13
1,8,13
1,7,13
1,4,13
11,3,13
13,2,13
20,1,13
24,0,13
0,19,12
0,16,12
0,14,12
0,13,12
1,8,12
1,7,12
1,5,12
2,3,12
19,2,12
24,1,12
30,0,12
0,29,11
0,26,11
0,24,11
0,19,11
0,17,11
0,16,11
1,8,11
1,7,11
2,6,11
2,5,11
2,4,11
14,2,11
25,1,11
31,0,11
0,22,10
0,20,10
0,19,10
0,16,10
1,13,10
1,10,10
2,7,10
3,6,10
9,5,10
13,3,10
35,2,10
41,1,10
103,0,10
0,26,9
0,20,9
1,19,9
1,16,9
1,13,9
2,9,9
6,5,9
20,4,9
91,3,9
104,2,9
0,9,22
0,8,22
0,6,22
0,5,22
1,3,22
1,1,22
1,0,22
0,8,21
0,6,21
0,5,21
1,4,21
1,1,21
4,0,21
0,7,20
0,6,20
0,4,20
1,3,20
2,2,20
4,1,20
5,0,20
0,7,19
0,5,19
1,4,19
1,3,19
1,2,19
1,1,19
4,0,19
0,9,18
0,8,18
0,7,18
1,2,18
2,1,18
3,0,18
0,9,17
0,8,17
0,7,17
1,4,17
1,3,17
1,2,17
1,1,17
4,0,17
0,16,16
0,13,16
0,11,16
0,10,16
0,8,16
1,7,16
1,6,16
1,2,16
1,1,16
9,0,16
0,10,15
0,9,15
1,8,15
1,5,15
1,2,15
1,1,15
14,0,15
0,10,14
0,9,14
1,6,14
1,5,14
1,1,14
12,0,14
0,14,13
0,13,13
0,11,13
1,9,13
1,8,13
1,4,13
1,3,13
13,2,13
14,1,13
24,0,13
0,11,12
1,10,12
1,9,12
1,8,12
1,7,12
1,3,12
21,2,12
22,1,12
35,0,12
0,20,11
0,18,11
0,15,11
1,10,11
1,7,11
2,6,11
3,5,11
4,4,11
13,3,11
20,2,11
26,1,11
58,0,11
0,25,10
0,22,10
0,21,10
0,18,10
1,7,10
3,5,10
3,4,10
39,3,10
78,2,10
110,1,10
0,8,22
0,7,22
0,6,22
0,5,22
1,4,22
1,3,22
1,2,22
1,1,22
7,0,22
0,8,21
0,5,21
1,3,21
1,2,21
1,1,21
5,0,21
0,8,20
0,7,20
0,6,20
1,2,20
1,1,20
8,0,20
0,10,19
0,7,19
0,4,19
1,3,19
4,2,19
6,1,19
8,0,19
0,7,18
0,5,18
1,1,18
9,0,18
0,16,17
0,12,17
0,7,17
1,3,17
1,2,17
8,1,17
8,0,17
0,8,16
1,5,16
1,2,16
11,1,16
17,0,16
0,14,15
0,12,15
0,11,15
0,9,15
1,3,15
1,0,15
0,13,14
0,11,14
0,10,14
1,6,14
1,3,14
4,2,14
5,1,14
17,0,14
0,13,13
1,8,13
1,6,13
1,5,13
1,3,13
22,2,13
32,1,13
37,0,13
0,15,12
0,14,12
1,13,12
1,12,12
1,5,12
2,3,12
33,2,12
34,1,12
41,0,12
0,31,11
0,24,11
0,20,11
0,19,11
0,18,11
0,17,11
0,15,11
0,13,11
1,10,11
1,9,11
1,8,11
1,7,11
1,5,11
2,4,11
26,3,11
27,2,11
34,1,11
45,0,11
0,23,10
0,22,10
0,19,10
0,18,10
0,17,10
1,16,10
1,12,10
1,10,10
1,9,10
3,7,10
3,6,10
5,5,10
10,4,10
20,3,10
