Generation,Fitness_value,Chromatic_number
0,22,24
0,16,24
0,13,24
0,12,24
1,9,24
1,7,24
1,6,24
2,3,24
2,2,24
8,1,24
13,0,24
0,26,23
0,25,23
0,20,23
0,17,23
0,16,23
0,14,23
0,12,23
1,10,23
1,9,23
1,8,23
1,7,23
1,6,23
2,5,23
2,4,23
2,2,23
7,1,23
8,0,23
0,22,22
0,19,22
0,16,22
0,13,22
1,10,22
1,9,22
1,8,22
1,6,22
2,5,22
2,3,22
6,2,22
8,1,22
12,0,22
0,25,21
0,24,21
0,22,21
0,19,21
0,18,21
1,10,21
1,9,21
2,7,21
2,5,21
2,2,21
11,1,21
13,0,21
0,20,20
0,19,20
0,18,20
1,14,20
1,12,20
1,10,20
1,8,20
2,7,20
2,5,20
2,4,20
3,3,20
5,2,20
6,1,20
9,0,20
0,29,19
0,28,19
0,25,19
0,24,19
0,23,19
0,20,19
0,17,19
1,13,19
1,11,19
1,9,19
1,7,19
2,5,19
2,3,19
10,2,19
12,1,19
14,0,19
0,23,18
0,22,18
0,21,18
1,16,18
1,12,18
1,8,18
2,7,18
2,5,18
3,4,18
3,2,18
8,1,18
13,0,18
0,29,17
0,27,17
0,25,17
0,24,17
0,23,17
0,22,17
1,17,17
1,7,17
2,5,17
3,3,17
4,2,17
8,1,17
14,0,17
0,27,16
0,26,16
0,19,16
1,16,16
1,13,16
1,11,16
2,8,16
2,5,16
3,3,16
4,2,16
7,1,16
10,0,16
0,39,15
0,35,15
0,34,15
0,32,15
0,24,15
1,21,15
1,16,15
1,13,15
1,10,15
2,9,15
2,7,15
2,6,15
3,4,15
3,1,15
23,0,15
0,35,14
0,30,14
0,25,14
1,19,14
1,13,14
1,11,14
2,10,14
2,5,14
3,4,14
11,2,14
14,1,14
19,0,14
0,34,13
0,33,13
0,32,13
1,16,13
1,15,13
1,13,13
2,10,13
2,8,13
3,6,13
4,4,13
7,3,13
17,2,13
17,1,13
24,0,13
0,40,12
0,35,12
0,29,12
1,26,12
1,25,12
1,20,12
1,17,12
1,14,12
2,10,12
3,9,12
3,6,12
4,4,12
4,3,12
12,1,12
21,0,12
0,40,11
0,39,11
0,38,11
1,31,11
1,24,11
1,20,11
2,13,11
3,12,11
3,10,11
3,7,11
4,6,11
5,4,11
22,2,11
24,1,11
36,0,11
0,50,10
0,47,10
0,46,10
0,44,10
1,36,10
1,31,10
1,30,10
1,25,10
1,24,10
1,23,10
2,20,10
2,17,10
2,16,10
2,15,10
2,8,10
6,6,10
8,5,10
8,1,10
28,0,10
0,57,9
0,53,9
0,52,9
0,51,9
1,36,9
1,35,9
1,33,9
1,32,9
1,30,9
1,28,9
2,26,9
2,19,9
3,18,9
3,12,9
4,11,9
5,7,9
6,3,9
17,2,9
17,1,9
25,0,9
0,61,8
0,59,8
1,48,8
1,42,8
2,37,8
2,34,8
3,32,8
3,30,8
4,28,8
4,27,8
4,26,8
4,16,8
7,12,8
13,11,8
15,10,8
18,7,8
23,6,8
23,5,8
27,3,8
41,2,8
45,1,8
96,0,8
0,72,7
0,70,7
0,69,7
0,68,7
1,50,7
1,44,7
3,34,7
4,30,7
5,29,7
8,28,7
9,25,7
10,24,7
15,23,7
15,22,7
16,19,7
26,18,7
32,16,7
33,15,7
39,14,7
40,13,7
41,11,7
44,10,7
47,9,7
53,8,7
55,7,7
58,6,7
69,5,7
103,4,7
108,3,7
111,2,7
152,1,7
0,18,24
0,15,24
0,13,24
1,8,24
1,3,24
3,1,24
10,0,24
0,24,23
0,22,23
0,16,23
0,15,23
1,10,23
1,9,23
1,8,23
1,7,23
2,5,23
2,4,23
2,3,23
5,2,23
7,1,23
11,0,23
0,16,22
0,15,22
1,14,22
1,6,22
1,5,22
2,3,22
2,1,22
12,0,22
0,25,21
0,24,21
0,22,21
0,20,21
0,19,21
0,17,21
1,16,21
1,5,21
2,2,21
9,1,21
15,0,21
0,24,20
0,17,20
0,16,20
1,13,20
1,12,20
1,11,20
1,9,20
1,7,20
2,6,20
2,5,20
2,3,20
4,2,20
8,0,20
0,26,19
0,21,19
0,20,19
1,13,19
1,12,19
1,10,19
1,9,19
2,8,19
2,5,19
2,3,19
6,1,19
14,0,19
0,28,18
0,19,18
0,17,18
1,15,18
1,14,18
1,13,18
1,10,18
2,9,18
2,6,18
2,4,18
3,3,18
15,2,18
16,1,18
17,0,18
0,37,17
0,34,17
0,30,17
0,28,17
0,26,17
0,24,17
0,23,17
0,19,17
1,18,17
1,15,17
1,13,17
1,12,17
1,8,17
1,3,17
18,2,17
21,1,17
23,0,17
0,26,16
0,23,16
0,22,16
1,18,16
1,14,16
1,9,16
2,7,16
2,4,16
8,3,16
8,0,16
0,30,15
0,29,15
0,27,15
0,26,15
0,24,15
1,16,15
1,14,15
1,13,15
2,12,15
2,9,15
2,7,15
2,4,15
13,3,15
14,2,15
15,1,15
22,0,15
0,36,14
0,32,14
0,31,14
0,29,14
1,26,14
1,25,14
1,17,14
1,16,14
1,12,14
1,11,14
2,10,14
2,9,14
3,3,14
4,2,14
19,0,14
0,47,13
0,43,13
0,40,13
0,34,13
0,32,13
0,31,13
0,28,13
1,22,13
1,16,13
1,15,13
2,13,13
2,7,13
3,6,13
4,5,13
5,2,13
16,1,13
26,0,13
0,48,12
0,46,12
0,41,12
0,37,12
0,36,12
0,35,12
1,28,12
1,19,12
1,17,12
1,16,12
1,13,12
2,12,12
2,9,12
4,8,12
4,7,12
4,4,12
15,3,12
18,2,12
19,1,12
25,0,12
0,51,11
0,49,11
0,45,11
0,44,11
0,43,11
0,41,11
0,37,11
1,23,11
1,19,11
1,16,11
1,14,11
2,13,11
2,11,11
3,10,11
3,8,11
3,7,11
5,6,11
5,5,11
6,4,11
11,3,11
11,2,11
22,1,11
25,0,11
1,32,10
1,26,10
2,21,10
2,19,10
2,18,10
3,16,10
3,14,10
4,13,10
4,11,10
5,10,10
6,7,10
6,6,10
7,3,10
27,2,10
31,1,10
35,0,10
0,64,9
0,60,9
0,52,9
0,50,9
1,49,9
1,46,9
1,40,9
1,37,9
1,35,9
1,34,9
1,32,9
1,28,9
2,25,9
2,23,9
3,22,9
3,20,9
4,18,9
5,17,9
5,15,9
6,13,9
6,11,9
7,8,9
10,7,9
12,5,9
14,4,9
32,3,9
36,2,9
40,1,9
53,0,9
0,69,8
0,61,8
0,59,8
1,50,8
1,49,8
1,38,8
2,31,8
2,29,8
3,28,8
5,26,8
5,23,8
5,19,8
7,18,8
11,17,8
14,16,8
14,10,8
27,9,8
29,6,8
30,5,8
32,4,8
38,3,8
42,2,8
50,1,8
68,0,8
0,75,7
0,73,7
0,64,7
1,53,7
1,46,7
2,41,7
2,40,7
3,33,7
6,32,7
7,29,7
10,28,7
14,27,7
15,24,7
19,23,7
20,21,7
23,20,7
24,18,7
24,17,7
34,14,7
46,12,7
46,11,7
56,9,7
66,8,7
74,7,7
77,6,7
79,5,7
80,4,7
86,3,7
406,2,7
637,1,7
0,20,24
0,16,24
0,14,24
0,13,24
1,11,24
1,8,24
1,6,24
2,5,24
2,4,24
2,1,24
12,0,24
0,26,23
0,22,23
0,18,23
0,16,23
0,15,23
1,12,23
1,9,23
1,8,23
1,7,23
2,6,23
2,5,23
