Generation,Fitness_value,Chromatic_number
0,89,9
0,66,9
0,60,9
0,56,9
2,48,9
5,46,9
5,44,9
6,42,9
7,40,9
9,38,9
11,36,9
12,33,9
14,32,9
15,31,9
16,30,9
16,28,9
18,27,9
19,24,9
20,23,9
21,20,9
23,19,9
23,18,9
25,17,9
26,16,9
27,14,9
28,13,9
29,12,9
29,11,9
30,10,9
31,9,9
32,8,9
33,7,9
35,6,9
36,3,9
42,2,9
48,1,9
50,0,9
0,63,9
0,61,9
1,57,9
2,56,9
2,55,9
3,53,9
3,52,9
3,47,9
4,46,9
5,44,9
5,42,9
6,41,9
8,40,9
9,38,9
10,37,9
10,36,9
11,33,9
12,32,9
13,31,9
13,30,9
14,28,9
15,27,9
16,24,9
18,23,9
18,21,9
20,20,9
21,18,9
21,17,9
22,16,9
23,14,9
27,13,9
28,12,9
29,11,9
30,9,9
33,8,9
35,5,9
42,4,9
45,3,9
52,2,9
61,1,9
81,0,9
0,75,9
0,63,9
0,62,9
0,59,9
1,58,9
2,57,9
3,54,9
3,48,9
6,46,9
6,43,9
8,42,9
8,39,9
9,36,9
11,35,9
13,33,9
14,32,9
15,31,9
15,29,9
16,27,9
17,26,9
18,25,9
19,23,9
21,19,9
24,17,9
30,16,9
32,14,9
33,13,9
35,12,9
36,11,9
37,10,9
37,9,9
38,8,9
39,7,9
41,6,9
44,5,9
45,4,9
51,3,9
57,2,9
60,1,9
70,0,9
0,66,9
0,65,9
0,63,9
0,62,9
1,57,9
2,52,9
3,50,9
5,45,9
6,44,9
7,41,9
9,34,9
11,32,9
13,31,9
13,30,9
14,26,9
16,25,9
17,24,9
18,22,9
19,21,9
19,19,9
20,18,9
21,15,9
23,13,9
24,12,9
26,10,9
27,9,9
28,8,9
31,6,9
35,5,9
36,4,9
42,2,9
52,1,9
59,0,9
0,84,9
0,77,9
0,72,9
0,71,9
0,70,9
0,63,9
0,58,9
0,57,9
1,53,9
2,52,9
3,51,9
4,49,9
4,47,9
5,43,9
6,41,9
7,38,9
8,36,9
9,35,9
9,33,9
11,31,9
12,30,9
13,29,9
14,25,9
18,21,9
20,20,9
21,18,9
22,17,9
23,16,9
25,15,9
25,14,9
26,13,9
27,11,9
30,10,9
32,9,9
32,8,9
33,7,9
37,6,9
37,5,9
41,4,9
46,3,9
51,2,9
73,1,9
88,0,9
0,79,9
0,77,9
0,73,9
0,72,9
0,63,9
0,56,9
2,51,9
5,47,9
8,41,9
12,38,9
15,37,9
15,36,9
15,34,9
16,32,9
18,31,9
18,30,9
19,24,9
22,23,9
23,21,9
24,20,9
25,19,9
25,18,9
25,17,9
26,15,9
29,14,9
30,13,9
30,11,9
34,10,9
36,9,9
37,7,9
41,6,9
42,5,9
43,4,9
47,3,9
50,2,9
55,1,9
64,0,9
0,66,9
0,65,9
0,62,9
1,61,9
2,59,9
2,58,9
2,57,9
2,56,9
3,55,9
3,54,9
4,52,9
4,51,9
6,47,9
7,46,9
8,45,9
8,40,9
12,39,9
12,38,9
13,36,9
13,35,9
15,34,9
16,31,9
20,30,9
21,27,9
22,24,9
24,23,9
25,22,9
25,21,9
28,19,9
29,17,9
30,16,9
31,15,9
33,14,9
34,13,9
36,11,9
37,8,9
41,7,9
43,6,9
44,5,9
46,4,9
48,3,9
53,2,9
66,1,9
76,0,9
0,78,9
0,73,9
0,60,9
1,58,9
2,57,9
2,56,9
3,54,9
4,52,9
4,50,9
5,49,9
6,46,9
7,41,9
9,40,9
10,38,9
10,35,9
11,32,9
13,31,9
14,30,9
15,28,9
16,25,9
20,24,9
21,22,9
24,17,9
26,16,9
27,14,9
31,13,9
32,11,9
34,9,9
37,8,9
38,7,9
39,6,9
44,5,9
44,4,9
47,3,9
54,2,9
57,1,9
59,0,9
0,76,9
0,64,9
0,61,9
1,59,9
1,53,9
2,50,9
3,45,9
5,43,9
6,42,9
8,40,9
11,39,9
12,37,9
14,36,9
14,32,9
16,30,9
16,27,9
18,23,9
21,22,9
23,20,9
23,17,9
26,15,9
28,13,9
29,12,9
30,11,9
30,10,9
31,9,9
34,8,9
34,7,9
35,6,9
36,5,9
39,4,9
40,3,9
49,2,9
58,1,9
87,0,9
0,71,9
0,70,9
0,66,9
0,64,9
0,61,9
1,54,9
3,52,9
4,49,9
4,47,9
4,45,9
7,44,9
7,43,9
7,41,9
7,37,9
10,33,9
15,31,9
15,30,9
16,27,9
18,24,9
19,23,9
19,22,9
21,19,9
22,18,9
24,17,9
26,14,9
28,12,9
29,10,9
30,9,9
32,8,9
34,7,9
35,6,9
37,5,9
39,4,9
46,3,9
49,2,9
55,1,9
62,0,9
0,81,9
0,79,9
0,72,9
0,61,9
1,53,9
4,51,9
4,49,9
5,47,9
6,46,9
7,45,9
8,43,9
8,42,9
8,41,9
9,37,9
10,36,9
11,35,9
12,34,9
12,33,9
12,31,9
13,30,9
15,29,9
15,28,9
17,24,9
18,23,9
19,22,9
20,21,9
21,20,9
21,18,9
22,17,9
23,15,9
25,14,9
26,13,9
27,12,9
28,10,9
30,9,9
32,8,9
32,6,9
36,5,9
38,4,9
44,3,9
47,2,9
53,1,9
60,0,9
0,68,9
0,64,9
0,56,9
1,53,9
1,49,9
4,46,9
5,45,9
7,43,9
10,41,9
10,40,9
12,39,9
12,37,9
13,36,9
15,35,9
16,34,9
16,33,9
18,30,9
19,29,9
19,28,9
20,27,9
21,26,9
21,25,9
22,24,9
23,22,9
23,21,9
25,20,9
25,19,9
26,17,9
28,15,9
29,14,9
32,12,9
35,11,9
38,10,9
39,8,9
41,6,9
42,5,9
48,4,9
53,3,9
59,2,9
66,1,9
85,0,9
0,63,9
0,62,9
1,59,9
2,57,9
2,51,9
3,48,9
4,46,9
4,45,9
6,44,9
7,40,9
9,39,9
9,38,9
9,34,9
10,33,9
11,32,9
12,31,9
12,27,9
14,26,9
14,25,9
15,23,9
15,22,9
16,21,9
17,20,9
18,15,9
23,13,9
25,12,9
26,11,9
28,10,9
29,9,9
32,8,9
34,7,9
36,6,9
38,5,9
40,4,9
41,3,9
45,1,9
60,0,9
0,76,9
0,75,9
0,70,9
0,64,9
0,58,9
2,57,9
2,51,9
2,50,9
5,49,9
5,46,9
6,43,9
8,42,9
9,40,9
10,35,9
11,31,9
14,27,9
17,26,9
18,24,9
18,23,9
19,22,9
19,21,9
21,20,9
22,19,9
23,18,9
24,17,9
25,15,9
27,14,9
28,11,9
30,8,9
32,5,9
37,4,9
40,3,9
45,2,9
50,1,9
65,0,9
0,72,9
0,68,9
0,67,9
0,64,9
0,59,9
1,58,9
1,56,9
2,52,9
3,47,9
5,46,9
7,44,9
9,40,9
11,36,9
13,33,9
14,31,9
17,29,9
18,28,9
19,24,9
22,22,9
23,21,9
25,18,9
26,17,9
28,16,9
28,15,9
30,14,9
31,13,9
31,11,9
34,9,9
35,8,9
37,7,9
40,6,9
41,5,9
43,4,9
49,3,9
50,2,9
54,1,9
57,0,9
0,67,9
0,61,9
1,59,9
1,54,9
2,49,9
6,48,9
6,44,9
7,43,9
7,38,9
8,36,9
11,35,9
13,31,9
16,29,9
17,28,9
17,27,9
19,26,9
20,24,9
22,23,9
22,22,9
24,21,9
25,18,9
26,17,9
28,16,9
29,14,9
32,12,9
34,10,9
35,9,9
36,8,9
37,7,9
39,6,9
40,5,9
42,4,9
44,3,9
45,2,9
56,1,9
77,0,9
0,79,9
0,77,9
0,76,9
0,73,9
0,68,9
0,67,9
0,65,9
0,59,9
1,58,9
1,55,9
3,53,9
3,50,9
4,49,9
5,46,9
7,44,9
7,39,9
10,38,9
10,37,9
11,33,9
12,32,9
13,31,9
13,29,9
15,28,9
15,27,9
16,26,9
17,25,9
17,23,9
18,22,9
18,20,9
20,19,9
20,18,9
21,17,9
23,16,9
23,15,9
24,14,9
25,13,9
26,11,9
27,10,9
28,8,9
30,6,9
37,5,9
39,4,9
41,3,9
42,2,9
46,1,9
57,0,9
0,76,9
0,72,9
0,63,9
1,57,9
1,56,9
3,55,9
3,51,9
3,50,9
4,48,9
4,42,9
7,41,9
8,40,9
9,38,9
10,37,9
10,36,9
10,30,9
14,27,9
14,24,9
15,21,9
18,20,9
19,19,9
20,17,9
21,16,9
22,15,9
23,11,9
27,10,9
28,8,9
30,5,9
36,4,9
37,3,9
40,2,9
44,1,9
52,0,9
0,65,9
0,63,9
0,60,9
0,56,9
2,54,9
2,53,9
3,51,9
5,47,9
7,44,9
8,40,9
10,39,9
11,36,9
13,34,9
15,32,9
