Generation,Fitness_value,Chromatic_number
0,74,42
0,70,42
0,66,42
0,65,42
0,64,42
0,63,42
0,56,42
1,55,42
1,44,42
1,42,42
1,35,42
1,34,42
1,30,42
2,24,42
3,23,42
3,21,42
3,18,42
4,14,42
6,13,42
6,11,42
9,10,42
10,9,42
12,8,42
13,7,42
14,5,42
18,4,42
50,3,42
95,2,42
193,1,42
0,80,42
0,69,42
0,66,42
0,63,42
0,60,42
1,50,42
1,42,42
1,39,42
1,34,42
1,30,42
2,27,42
3,26,42
3,22,42
4,19,42
4,18,42
5,15,42
5,13,42
7,11,42
11,10,42
14,6,42
22,5,42
23,4,42
44,3,42
68,2,42
1436,1,42
0,71,42
0,66,42
0,63,42
0,56,42
1,39,42
1,38,42
1,33,42
1,32,42
2,24,42
2,20,42
3,16,42
5,15,42
6,14,42
9,13,42
11,11,42
14,9,42
16,7,42
24,6,42
27,5,42
31,4,42
38,3,42
55,2,42
295,1,42
1025,0,42
0,68,42
0,59,42
1,41,42
1,39,42
1,38,42
1,35,42
2,31,42
2,30,42
2,24,42
2,22,42
3,17,42
4,16,42
5,13,42
8,11,42
8,9,42
11,6,42
13,5,42
17,4,42
46,3,42
54,2,42
350,1,42
0,69,42
0,64,42
0,62,42
0,60,42
0,58,42
1,55,42
1,41,42
1,36,42
1,35,42
1,30,42
2,29,42
2,26,42
2,21,42
3,18,42
4,16,42
5,15,42
7,14,42
7,13,42
8,10,42
10,8,42
15,7,42
18,5,42
24,4,42
35,3,42
57,2,42
192,1,42
339,0,42
0,72,42
0,70,42
0,64,42
0,63,42
0,58,42
1,51,42
1,39,42
1,37,42
1,32,42
2,28,42
2,27,42
2,24,42
3,21,42
4,18,42
4,14,42
5,13,42
7,12,42
7,11,42
8,10,42
11,9,42
12,8,42
13,7,42
17,6,42
20,3,42
248,2,42
582,1,42
0,66,42
0,65,42
0,63,42
1,50,42
1,40,42
1,39,42
1,38,42
1,36,42
1,34,42
2,33,42
2,21,42
4,15,42
5,14,42
5,12,42
6,11,42
7,10,42
8,9,42
8,7,42
9,6,42
14,4,42
199,3,42
626,2,42
1152,1,42
0,61,42
1,49,42
1,41,42
1,39,42
1,37,42
1,36,42
2,32,42
2,29,42
2,27,42
2,24,42
3,22,42
3,21,42
4,18,42
5,17,42
5,16,42
6,14,42
7,13,42
7,12,42
8,11,42
11,10,42
12,8,42
13,6,42
15,5,42
20,4,42
34,3,42
45,2,42
1323,1,42
2734,0,42
0,70,42
0,66,42
0,62,42
0,57,42
1,43,42
1,38,42
1,37,42
1,32,42
2,27,42
2,20,42
3,19,42
4,18,42
4,17,42
4,16,42
5,15,42
6,13,42
6,12,42
7,11,42
7,10,42
10,9,42
15,8,42
16,7,42
19,6,42
21,5,42
25,4,42
67,3,42
162,2,42
1168,1,42
0,67,42
0,62,42
0,60,42
1,54,42
1,38,42
1,35,42
1,32,42
2,25,42
2,24,42
2,18,42
4,16,42
6,14,42
7,11,42
7,9,42
14,8,42
16,5,42
26,4,42
50,3,42
102,2,42
214,1,42
0,77,42
0,72,42
0,68,42
0,67,42
0,59,42
1,38,42
1,35,42
1,33,42
2,28,42
2,27,42
2,25,42
2,23,42
3,15,42
7,14,42
8,11,42
9,10,42
10,9,42
15,8,42
16,7,42
19,6,42
20,5,42
24,4,42
34,3,42
104,2,42
165,1,42
314,0,42
0,75,42
0,71,42
0,67,42
0,61,42
0,59,42
0,57,42
1,40,42
1,39,42
1,35,42
1,34,42
2,32,42
2,28,42
2,22,42
3,19,42
3,18,42
5,17,42
5,13,42
6,11,42
7,9,42
9,8,42
14,7,42
16,6,42
18,5,42
24,4,42
27,3,42
358,2,42
1234,1,42
0,81,42
0,76,42
0,70,42
0,69,42
0,65,42
0,62,42
0,61,42
1,53,42
1,39,42
1,37,42
1,36,42
1,29,42
2,23,42
3,22,42
4,17,42
4,14,42
6,11,42
8,10,42
8,9,42
9,6,42
15,5,42
15,4,42
152,3,42
279,2,42
3245,1,42
0,58,42
0,57,42
1,52,42
1,47,42
1,44,42
1,36,42
2,33,42
2,26,42
2,25,42
2,21,42
3,20,42
4,19,42
5,18,42
5,17,42
5,16,42
5,15,42
7,14,42
8,13,42
8,12,42
9,11,42
10,10,42
13,9,42
13,8,42
15,7,42
17,6,42
20,5,42
36,4,42
64,3,42
555,2,42
972,1,42
1577,0,42
0,66,42
0,58,42
1,43,42
1,39,42
1,38,42
1,36,42
1,35,42
1,34,42
2,33,42
2,29,42
2,28,42
2,23,42
2,21,42
3,19,42
4,16,42
5,14,42
6,13,42
8,12,42
9,11,42
10,10,42
12,9,42
13,8,42
16,7,42
16,6,42
17,5,42
21,4,42
183,3,42
267,2,42
563,1,42
1814,0,42
0,67,42
0,65,42
0,56,42
1,48,42
1,39,42
1,38,42
1,35,42
1,27,42
2,26,42
2,19,42
4,18,42
4,17,42
4,15,42
5,14,42
7,10,42
9,9,42
12,8,42
15,7,42
23,6,42
24,5,42
27,4,42
104,3,42
141,2,42
1673,1,42
0,63,42
0,61,42
0,58,42
1,36,42
1,33,42
2,30,42
2,22,42
2,19,42
4,15,42
5,13,42
5,12,42
6,10,42
8,9,42
10,7,42
12,4,42
25,3,42
65,2,42
245,1,42
0,72,42
0,71,42
0,66,42
0,65,42
0,64,42
0,62,42
0,59,42
1,52,42
1,44,42
1,42,42
1,41,42
1,39,42
1,35,42
2,34,42
2,28,42
2,26,42
3,25,42
3,19,42
4,16,42
7,13,42
9,12,42
11,9,42
14,8,42
16,6,42
22,5,42
26,4,42
120,3,42
145,2,42
637,1,42
0,63,42
0,57,42
1,49,42
1,47,42
1,43,42
1,40,42
1,38,42
1,36,42
1,35,42
2,27,42
2,26,42
2,25,42
3,24,42
3,18,42
3,16,42
6,15,42
7,14,42
7,13,42
9,12,42
9,11,42
10,8,42
16,7,42
21,6,42
31,5,42
37,4,42
107,3,42
250,2,42
1087,1,42
0,78,42
0,74,42
0,69,42
0,67,42
0,63,42
0,61,42
1,48,42
1,38,42
1,37,42
1,36,42
1,35,42
2,34,42
2,31,42
2,30,42
2,29,42
2,23,42
3,22,42
4,20,42
4,19,42
4,17,42
6,15,42
6,13,42
7,10,42
10,9,42
12,8,42
13,7,42
16,6,42
16,5,42
22,4,42
64,3,42
159,2,42
359,1,42
709,0,42
0,65,42
0,64,42
0,63,42
0,58,42
1,39,42
1,30,42
2,29,42
2,26,42
2,25,42
3,23,42
3,22,42
3,17,42
5,16,42
5,15,42
6,13,42
6,10,42
9,8,42
14,6,42
19,5,42
19,4,42
65,3,42
110,2,42
447,1,42
0,57,42
1,41,42
1,33,42
1,30,42
2,26,42
2,18,42
3,17,42
5,14,42
7,13,42
8,12,42
10,9,42
12,8,42
13,7,42
16,6,42
21,5,42
23,4,42
38,3,42
117,2,42
925,1,42
0,58,42
1,45,42
1,44,42
1,35,42
1,25,42
3,24,42
3,23,42
3,19,42
4,18,42
4,15,42
7,14,42
7,11,42
10,10,42
12,9,42
14,8,42
16,6,42
21,5,42
24,4,42
149,3,42
267,2,42
520,1,42
0,69,42
0,62,42
0,60,42
1,52,42
1,46,42
1,36,42
1,34,42
1,27,42
2,26,42
2,19,42
3,18,42
4,15,42
6,8,42
14,7,42
15,6,42
18,5,42
20,4,42
231,3,42
725,2,42
1389,1,42
2916,0,42
0,70,42
0,68,42
0,63,42
0,59,42
1,45,42
1,43,42
1,42,42
1,32,42
1,31,42
2,29,42
2,25,42
2,21,42
3,16,42
3,15,42
5,14,42
6,12,42
8,10,42
12,8,42
18,7,42
18,6,42
20,5,42
26,4,42
175,3,42
385,2,42
3605,1,42
0,82,42
0,65,42
0,61,42
0,54,42
1,52,42
1,42,42
1,41,42
1,39,42
1,36,42
1,31,42
2,19,42
3,16,42
6,13,42
8,12,42
9,10,42
11,9,42
12,8,42
13,7,42
20,6,42
32,5,42
38,4,42
54,3,42
149,2,42
365,1,42
0,89,42
0,67,42
0,60,42
0,57,42
1,45,42
1,34,42
1,33,42
2,27,42
2,26,42
3,24,42
3,23,42
3,18,42
4,16,42
5,13,42
6,12,42
7,8,42
9,7,42
16,6,42
21,5,42
21,4,42
101,3,42
268,2,42
996,1,42
0,71,42
0,70,42
0,68,42
0,66,42
0,57,42
0,49,42
1,45,42
1,40,42
1,38,42
1,33,42
2,28,42
2,22,42
3,19,42
3,17,42
4,15,42
5,13,42
8,12,42
9,10,42
10,8,42
11,7,42
17,6,42
18,5,42
23,3,42
44,2,42
751,1,42
0,63,42
0,50,42
1,46,42
1,42,42
1,38,42
1,35,42
1,33,42
2,27,42
2,23,42
3,21,42
3,20,42
4,17,42
4,16,42
5,14,42
6,13,42
8,12,42
11,10,42
12,9,42
13,8,42
13,7,42
15,6,42
19,5,42
24,4,42
64,3,42
388,2,42
728,1,42
2337,0,42
0,73,42
0,68,42
0,67,42
0,66,42
0,65,42
0,63,42
0,62,42
1,59,42
1,49,42
1,44,42
1,31,42
1,30,42
2,29,42
2,21,42
3,20,42
4,17,42
6,14,42
7,11,42
7,10,42
12,9,42
13,8,42
13,7,42
14,6,42
18,5,42
24,4,42
39,3,42
228,2,42
868,1,42
