Generation,Fitness_value,Chromatic_number
0,31,5
0,29,5
1,25,5
1,20,5
1,19,5
2,17,5
4,14,5
14,13,5
14,11,5
30,8,5
37,7,5
41,4,5
51,3,5
53,2,5
57,0,5
0,33,5
0,29,5
1,26,5
1,25,5
1,24,5
1,23,5
1,22,5
1,19,5
2,18,5
2,17,5
4,11,5
5,10,5
31,9,5
32,6,5
37,4,5
0,31,5
0,29,5
1,22,5
1,21,5
2,19,5
3,18,5
4,15,5
6,14,5
12,12,5
15,10,5
17,9,5
27,6,5
29,5,5
34,2,5
42,0,5
0,37,5
0,34,5
0,33,5
0,31,5
0,27,5
1,26,5
1,25,5
1,24,5
1,22,5
1,21,5
1,20,5
1,19,5
4,17,5
7,15,5
12,14,5
17,13,5
18,12,5
19,11,5
24,9,5
29,8,5
31,7,5
33,6,5
451,5,5
457,4,5
460,2,5
466,0,5
0,33,5
0,31,5
0,30,5
0,29,5
0,26,5
1,21,5
2,20,5
3,19,5
5,18,5
7,16,5
8,15,5
10,14,5
10,12,5
14,11,5
15,10,5
17,6,5
22,5,5
24,4,5
28,3,5
30,2,5
33,0,5
0,44,5
0,40,5
0,36,5
0,32,5
0,30,5
1,29,5
1,23,5
1,22,5
2,21,5
3,19,5
3,18,5
3,16,5
4,15,5
7,14,5
12,13,5
20,11,5
21,10,5
25,8,5
27,6,5
27,5,5
30,4,5
41,0,5
0,30,5
1,25,5
1,24,5
1,23,5
1,22,5
1,21,5
2,19,5
4,18,5
4,17,5
5,16,5
10,12,5
12,8,5
19,7,5
20,6,5
24,5,5
26,3,5
26,0,5
0,34,5
0,32,5
0,31,5
0,27,5
1,25,5
1,22,5
1,20,5
2,18,5
3,17,5
3,16,5
4,15,5
5,14,5
5,13,5
6,12,5
7,11,5
14,9,5
18,8,5
25,7,5
35,6,5
600,4,5
0,32,5
0,30,5
0,28,5
1,26,5
1,24,5
1,18,5
6,16,5
8,15,5
9,11,5
15,7,5
39,6,5
47,5,5
50,0,5
0,34,5
0,33,5
0,31,5
1,29,5
1,26,5
1,21,5
2,20,5
3,19,5
5,18,5
5,16,5
5,15,5
8,14,5
12,13,5
13,12,5
15,11,5
15,10,5
20,8,5
24,6,5
26,2,5
33,0,5
0,35,5
0,32,5
0,30,5
0,27,5
1,24,5
1,22,5
1,19,5
2,17,5
4,16,5
7,15,5
8,13,5
11,12,5
12,10,5
15,8,5
27,7,5
27,4,5
38,3,5
43,2,5
43,0,5
0,37,5
0,36,5
0,31,5
0,30,5
0,29,5
1,25,5
1,24,5
1,23,5
2,22,5
2,17,5
3,16,5
5,14,5
7,12,5
18,9,5
24,7,5
25,6,5
28,5,5
29,4,5
32,3,5
48,2,5
50,0,5
0,36,5
0,33,5
0,32,5
0,31,5
0,30,5
0,28,5
1,25,5
1,20,5
1,18,5
3,14,5
5,13,5
7,10,5
23,8,5
30,7,5
31,6,5
33,3,5
41,0,5
0,37,5
0,33,5
0,31,5
0,30,5
1,29,5
1,28,5
1,26,5
1,24,5
1,20,5
1,19,5
3,18,5
3,13,5
8,12,5
11,11,5
14,10,5
17,9,5
18,8,5
20,6,5
22,5,5
23,4,5
26,2,5
30,0,5
0,38,5
0,33,5
0,32,5
0,31,5
0,29,5
1,28,5
1,26,5
1,24,5
1,21,5
1,20,5
3,18,5
4,17,5
5,15,5
8,14,5
10,13,5
11,12,5
11,9,5
23,8,5
24,7,5
41,6,5
70,5,5
78,3,5
83,2,5
89,0,5
0,33,5
0,31,5
0,29,5
0,26,5
1,24,5
1,23,5
2,20,5
3,18,5
3,16,5
10,13,5
10,12,5
21,11,5
21,10,5
25,8,5
31,4,5
36,3,5
41,0,5
0,29,5
1,20,5
1,19,5
2,18,5
2,16,5
7,15,5
10,14,5
14,13,5
17,12,5
19,10,5
22,9,5
24,8,5
29,6,5
32,5,5
33,2,5
37,0,5
0,39,5
0,35,5
0,34,5
0,33,5
0,31,5
0,28,5
1,27,5
1,23,5
1,22,5
2,18,5
6,15,5
10,14,5
13,13,5
14,12,5
18,11,5
21,9,5
27,8,5
30,7,5
33,6,5
62,5,5
77,4,5
98,2,5
125,0,5
0,36,5
0,32,5
0,31,5
0,29,5
0,27,5
1,25,5
1,22,5
1,21,5
1,19,5
3,16,5
7,12,5
10,10,5
19,8,5
23,7,5
27,6,5
30,4,5
0,35,5
0,33,5
0,30,5
1,26,5
1,25,5
1,23,5
2,20,5
2,18,5
2,14,5
6,13,5
12,9,5
16,7,5
18,6,5
20,4,5
25,3,5
29,2,5
34,0,5
0,31,5
0,30,5
0,29,5
0,28,5
1,20,5
2,19,5
5,17,5
8,16,5
11,15,5
12,12,5
18,10,5
23,9,5
25,7,5
28,6,5
33,4,5
39,3,5
55,2,5
59,0,5
0,40,5
0,35,5
0,30,5
0,27,5
1,24,5
1,22,5
1,15,5
2,13,5
11,10,5
20,8,5
25,6,5
42,5,5
44,4,5
44,3,5
50,2,5
51,0,5
0,28,5
1,27,5
1,24,5
1,23,5
1,20,5
2,19,5
3,16,5
7,15,5
