Generation,Fitness_value,Chromatic_number
0,29,18
0,25,18
1,21,18
1,15,18
1,14,18
1,11,18
2,9,18
2,7,18
3,0,18
0,27,17
0,26,17
0,25,17
1,18,17
1,17,17
1,16,17
2,15,17
2,14,17
2,11,17
2,10,17
2,9,17
3,6,17
4,3,17
4,2,17
12,1,17
17,0,17
0,35,16
0,33,16
0,32,16
0,26,16
1,11,16
2,10,16
2,6,16
3,3,16
6,1,16
12,0,16
0,39,15
0,38,15
0,35,15
0,34,15
0,29,15
1,20,15
1,18,15
1,12,15
2,10,15
2,8,15
2,6,15
3,4,15
8,3,15
11,2,15
12,1,15
14,0,15
0,43,14
0,40,14
0,30,14
1,26,14
1,21,14
1,14,14
2,13,14
2,12,14
2,10,14
3,7,14
3,6,14
4,3,14
6,2,14
8,1,14
12,0,14
0,45,13
0,44,13
0,43,13
0,38,13
0,37,13
1,25,13
1,21,13
1,19,13
1,16,13
2,15,13
2,9,13
2,5,13
4,2,13
6,1,13
10,0,13
0,49,12
0,44,12
0,42,12
0,38,12
1,22,12
1,18,12
2,16,12
2,15,12
2,9,12
3,7,12
4,6,12
5,5,12
5,4,12
8,2,12
11,1,12
14,0,12
0,55,11
0,46,11
0,37,11
1,26,11
1,25,11
1,24,11
1,20,11
2,19,11
2,17,11
2,14,11
2,10,11
2,8,11
3,6,11
5,4,11
5,2,11
14,1,11
16,0,11
0,61,10
0,60,10
0,58,10
0,55,10
0,54,10
1,32,10
1,29,10
1,20,10
2,14,10
2,13,10
3,12,10
3,11,10
3,9,10
3,8,10
4,5,10
4,3,10
10,2,10
13,1,10
14,0,10
0,72,9
0,58,9
0,54,9
1,50,9
1,35,9
1,32,9
1,27,9
2,23,9
2,19,9
2,18,9
2,16,9
3,15,9
3,13,9
3,12,9
4,11,9
4,8,9
4,4,9
6,3,9
8,2,9
15,1,9
19,0,9
0,79,8
0,73,8
0,71,8
1,55,8
1,52,8
1,43,8
1,37,8
1,35,8
2,32,8
2,24,8
3,23,8
3,20,8
3,17,8
4,14,8
4,12,8
5,11,8
5,10,8
6,9,8
7,7,8
9,6,8
9,4,8
15,2,8
22,1,8
25,0,8
0,96,7
0,92,7
0,87,7
0,84,7
1,64,7
1,55,7
1,48,7
1,38,7
2,35,7
2,32,7
2,27,7
3,26,7
4,25,7
5,24,7
5,18,7
8,16,7
9,13,7
10,12,7
12,10,7
14,6,7
18,3,7
36,2,7
48,1,7
51,0,7
0,115,6
0,111,6
0,108,6
0,104,6
1,91,6
1,74,6
1,64,6
1,61,6
2,60,6
2,53,6
2,46,6
3,43,6
4,41,6
4,39,6
4,38,6
5,35,6
6,30,6
7,27,6
9,23,6
10,22,6
10,18,6
13,17,6
13,10,6
18,9,6
18,5,6
24,4,6
36,3,6
39,2,6
42,1,6
45,0,6
0,144,5
0,139,5
0,131,5
1,120,5
1,97,5
1,93,5
1,85,5
2,71,5
3,57,5
9,53,5
9,52,5
10,47,5
13,42,5
20,37,5
22,35,5
28,33,5
36,31,5
37,30,5
38,29,5
43,25,5
49,23,5
50,21,5
63,20,5
63,16,5
68,10,5
104,5,5
119,3,5
158,2,5
679,1,5
0,29,18
0,28,18
0,24,18
0,23,18
1,17,18
1,15,18
1,13,18
2,10,18
2,8,18
2,6,18
3,3,18
5,2,18
9,0,18
0,23,17
1,22,17
1,19,17
1,13,17
2,11,17
2,9,17
2,8,17
2,6,17
3,3,17
3,2,17
13,1,17
14,0,17
0,32,16
0,26,16
1,16,16
1,15,16
1,11,16
2,10,16
2,5,16
3,2,16
5,1,16
7,0,16
0,30,15
1,10,15
2,9,15
3,6,15
3,3,15
8,2,15
9,0,15
0,47,14
0,25,14
1,24,14
1,18,14
1,17,14
1,14,14
2,12,14
2,11,14
2,9,14
3,7,14
4,6,14
4,3,14
8,2,14
10,1,14
14,0,14
0,50,13
0,42,13
0,40,13
0,38,13
1,23,13
1,21,13
1,16,13
2,11,13
3,8,13
3,6,13
4,5,13
5,3,13
11,2,13
13,1,13
15,0,13
0,46,12
0,44,12
0,42,12
1,28,12
1,23,12
1,22,12
2,12,12
2,10,12
2,9,12
3,6,12
4,4,12
7,3,12
7,2,12
9,1,12
14,0,12
0,70,11
0,63,11
0,58,11
0,56,11
0,47,11
1,31,11
1,25,11
1,24,11
1,19,11
1,17,11
2,14,11
2,8,11
5,7,11
5,6,11
6,5,11
6,2,11
13,1,11
17,0,11
0,61,10
0,49,10
1,44,10
1,31,10
1,24,10
1,18,10
2,11,10
3,6,10
5,4,10
8,2,10
10,1,10
15,0,10
0,76,9
0,73,9
0,68,9
0,66,9
0,65,9
1,30,9
2,29,9
2,28,9
2,26,9
2,19,9
2,17,9
3,15,9
3,10,9
4,8,9
5,7,9
6,6,9
7,5,9
8,4,9
8,3,9
13,2,9
16,0,9
0,80,8
0,78,8
0,75,8
0,74,8
0,72,8
1,58,8
1,53,8
1,46,8
1,43,8
1,40,8
1,39,8
1,38,8
2,34,8
2,32,8
2,28,8
2,26,8
2,21,8
3,17,8
4,16,8
4,14,8
4,12,8
5,10,8
6,3,8
34,2,8
37,1,8
38,0,8
0,99,7
0,94,7
0,88,7
1,62,7
1,60,7
1,45,7
2,37,7
2,36,7
3,30,7
3,21,7
4,20,7
5,12,7
7,11,7
8,10,7
9,8,7
10,4,7
31,3,7
34,2,7
36,1,7
43,0,7
0,123,6
0,117,6
0,110,6
0,101,6
1,84,6
1,74,6
1,71,6
1,54,6
2,48,6
3,46,6
4,45,6
4,42,6
4,39,6
5,38,6
5,34,6
6,32,6
7,30,6
8,29,6
8,26,6
9,24,6
10,21,6
11,18,6
13,16,6
13,15,6
15,14,6
16,13,6
16,9,6
20,8,6
21,7,6
24,4,6
38,3,6
45,2,6
54,1,6
68,0,6
0,153,5
0,123,5
1,120,5
1,112,5
1,108,5
1,103,5
1,96,5
1,95,5
1,89,5
2,88,5
2,81,5
2,78,5
3,73,5
3,69,5
4,57,5
6,54,5
7,53,5
7,45,5
8,43,5
15,38,5
22,34,5
29,32,5
29,28,5
33,26,5
40,25,5
45,24,5
52,23,5
56,21,5
57,20,5
64,19,5
67,18,5
73,17,5
74,16,5
79,14,5
81,13,5
91,12,5
96,11,5
103,10,5
104,9,5
110,8,5
117,7,5
122,6,5
126,5,5
137,4,5
191,3,5
424,2,5
0,37,18
0,33,18
0,28,18
0,24,18
0,22,18
0,21,18
1,19,18
1,18,18
1,17,18
1,10,18
1,8,18
2,7,18
2,5,18
3,2,18
8,1,18
9,0,18
0,32,17
0,29,17
0,26,17
1,21,17
1,16,17
1,15,17
1,14,17
1,9,17
2,8,17
3,5,17
4,2,17
9,1,17
12,0,17
0,45,16
0,38,16
0,35,16
0,34,16
0,32,16
0,29,16
0,27,16
1,22,16
1,14,16
1,12,16
2,11,16
2,9,16
2,6,16
4,3,16
7,2,16
8,1,16
11,0,16
0,31,15
0,30,15
0,29,15
1,25,15
1,11,15
2,9,15
3,7,15
