Generation,Fitness_value,Chromatic_number
0,23,24
0,21,24
0,17,24
0,16,24
0,12,24
1,10,24
1,9,24
1,7,24
2,5,24
2,4,24
8,3,24
10,2,24
11,0,24
0,17,23
0,15,23
0,14,23
0,8,23
1,7,23
2,4,23
2,3,23
11,2,23
12,1,23
13,0,23
0,22,22
0,19,22
0,16,22
0,14,22
1,10,22
1,9,22
2,7,22
2,5,22
3,4,22
10,3,22
11,2,22
12,1,22
16,0,22
1,15,21
1,11,21
1,9,21
2,6,21
3,5,21
5,4,21
5,3,21
8,1,21
15,0,21
0,26,20
0,24,20
0,22,20
0,20,20
0,19,20
0,14,20
1,13,20
1,10,20
2,8,20
3,6,20
3,5,20
3,3,20
5,1,20
9,0,20
0,24,19
0,23,19
0,20,19
0,19,19
1,14,19
1,12,19
1,10,19
2,9,19
3,7,19
3,5,19
4,4,19
4,1,19
7,0,19
0,24,18
0,19,18
1,15,18
1,14,18
1,13,18
1,11,18
1,10,18
2,8,18
3,6,18
4,5,18
5,3,18
5,2,18
13,1,18
16,0,18
0,28,17
0,27,17
0,25,17
0,21,17
1,20,17
1,15,17
1,13,17
2,9,17
3,5,17
4,3,17
18,2,17
22,1,17
25,0,17
0,37,16
0,30,16
0,26,16
0,22,16
0,21,16
1,16,16
1,13,16
1,9,16
2,7,16
3,6,16
4,5,16
4,4,16
6,3,16
9,2,16
11,1,16
15,0,16
0,38,15
0,37,15
0,35,15
0,33,15
0,32,15
0,28,15
0,25,15
1,24,15
1,22,15
1,15,15
1,13,15
2,12,15
2,9,15
3,8,15
4,6,15
4,3,15
15,2,15
17,1,15
20,0,15
0,34,14
0,32,14
0,30,14
1,26,14
1,24,14
1,21,14
1,18,14
2,14,14
2,13,14
2,10,14
2,8,14
4,5,14
5,4,14
22,3,14
25,2,14
27,1,14
31,0,14
0,34,13
0,31,13
0,30,13
1,17,13
1,16,13
2,15,13
2,10,13
3,9,13
4,7,13
4,6,13
5,3,13
5,2,13
24,1,13
29,0,13
0,47,12
0,44,12
0,42,12
0,39,12
0,30,12
1,28,12
1,26,12
1,24,12
1,23,12
1,21,12
2,19,12
2,18,12
3,9,12
5,7,12
6,5,12
8,4,12
10,2,12
18,1,12
19,0,12
0,51,11
0,45,11
0,43,11
0,38,11
0,37,11
0,36,11
1,29,11
1,28,11
1,27,11
1,26,11
1,23,11
1,21,11
1,19,11
3,14,11
4,13,11
5,12,11
5,10,11
5,8,11
7,6,11
8,4,11
22,3,11
24,2,11
30,1,11
32,0,11
0,60,10
0,59,10
0,52,10
0,50,10
0,49,10
0,48,10
0,41,10
1,31,10
1,27,10
2,25,10
2,24,10
3,23,10
3,20,10
3,16,10
5,10,10
7,7,10
7,6,10
11,5,10
13,4,10
17,3,10
19,2,10
26,1,10
34,0,10
0,47,9
0,45,9
1,41,9
1,40,9
1,36,9
1,31,9
2,29,9
2,25,9
3,23,9
3,21,9
4,20,9
5,17,9
5,15,9
7,14,9
8,13,9
10,12,9
11,10,9
11,9,9
13,8,9
16,7,9
18,6,9
20,4,9
24,3,9
31,2,9
35,1,9
43,0,9
0,68,8
0,64,8
0,61,8
0,58,8
1,54,8
1,52,8
1,45,8
1,39,8
2,38,8
3,24,8
7,19,8
7,15,8
10,14,8
11,12,8
12,11,8
14,10,8
14,9,8
15,7,8
19,6,8
20,4,8
28,3,8
34,2,8
41,1,8
126,0,8
0,79,7
0,74,7
0,67,7
1,60,7
1,54,7
1,53,7
1,49,7
2,47,7
3,44,7
4,42,7
4,41,7
5,40,7
5,39,7
6,38,7
6,37,7
8,36,7
9,33,7
10,31,7
11,28,7
13,26,7
15,24,7
15,21,7
20,20,7
21,18,7
28,17,7
29,16,7
31,15,7
34,14,7
39,12,7
42,11,7
43,9,7
51,8,7
52,7,7
59,6,7
59,5,7
104,4,7
283,3,7
2832,2,7
3624,1,7
0,16,24
0,14,24
0,13,24
0,11,24
1,8,24
1,7,24
2,5,24
3,4,24
3,3,24
6,2,24
10,1,24
10,0,24
0,20,23
0,17,23
0,13,23
1,11,23
1,8,23
1,7,23
2,4,23
4,3,23
9,2,23
13,1,23
16,0,23
0,17,22
0,13,22
1,11,22
1,7,22
2,5,22
2,4,22
3,3,22
8,1,22
14,0,22
0,23,21
0,18,21
0,17,21
0,14,21
0,13,21
1,8,21
2,7,21
2,6,21
2,4,21
4,3,21
6,2,21
9,1,21
14,0,21
0,29,20
0,25,20
0,19,20
0,16,20
1,13,20
1,12,20
1,10,20
2,9,20
2,8,20
2,7,20
3,6,20
3,5,20
4,4,20
6,3,20
9,2,20
12,1,20
14,0,20
0,20,19
0,18,19
1,14,19
1,11,19
1,10,19
2,7,19
4,6,19
4,5,19
5,4,19
7,2,19
9,1,19
14,0,19
0,21,18
0,20,18
0,19,18
0,14,18
1,11,18
2,8,18
4,7,18
4,5,18
4,4,18
4,3,18
8,1,18
14,0,18
0,28,17
0,22,17
1,16,17
1,12,17
2,10,17
2,5,17
3,4,17
4,3,17
9,2,17
12,1,17
13,0,17
0,31,16
0,30,16
0,28,16
0,25,16
1,22,16
1,19,16
1,17,16
1,16,16
1,15,16
1,13,16
2,12,16
2,11,16
2,8,16
3,5,16
4,4,16
9,2,16
13,1,16
17,0,16
0,27,15
0,26,15
1,19,15
1,18,15
1,16,15
2,14,15
2,13,15
2,10,15
3,9,15
4,7,15
5,5,15
5,1,15
11,0,15
0,39,14
0,35,14
0,33,14
0,32,14
0,30,14
1,28,14
1,27,14
1,26,14
1,22,14
1,15,14
2,14,14
2,10,14
3,8,14
4,7,14
5,4,14
16,2,14
21,1,14
25,0,14
0,37,13
0,33,13
0,31,13
0,24,13
1,22,13
1,21,13
1,15,13
2,14,13
2,12,13
3,10,13
3,9,13
4,7,13
5,6,13
6,5,13
6,4,13
16,3,13
17,2,13
19,1,13
27,0,13
0,50,12
0,42,12
0,38,12
0,37,12
0,36,12
0,35,12
1,32,12
1,27,12
1,24,12
1,23,12
2,21,12
2,19,12
2,14,12
2,11,12
3,6,12
6,5,12
7,4,12
15,3,12
23,2,12
25,1,12
28,0,12
0,53,11
0,49,11
0,47,11
0,43,11
0,42,11
0,41,11
0,38,11
1,30,11
1,29,11
1,28,11
1,26,11
1,25,11
2,24,11
2,23,11
2,19,11
3,18,11
3,17,11
3,13,11
4,11,11
6,3,11
20,2,11
22,1,11
29,0,11
0,58,10
0,55,10
0,54,10
0,48,10
0,47,10
0,45,10
1,39,10
1,33,10
1,32,10
1,31,10
1,27,10
1,26,10
2,25,10
3,24,10
3,23,10
3,20,10
3,18,10
4,15,10
5,13,10
6,11,10
7,10,10
7,8,10
8,6,10
11,4,10
15,3,10
18,2,10
24,1,10
36,0,10
0,55,9
0,53,9
0,51,9
1,42,9
1,35,9
2,29,9
3,27,9
4,23,9
5,22,9
6,20,9
6,19,9
8,15,9
9,14,9
11,8,9
14,7,9
16,6,9
17,5,9
18,3,9
24,2,9
31,1,9
38,0,9
0,52,8
1,51,8
1,49,8
1,48,8
1,47,8
1,40,8
2,38,8
3,33,8
4,26,8
7,25,8
8,23,8
11,21,8
12,17,8
14,16,8
16,15,8
18,13,8
20,12,8
21,11,8
22,10,8
22,9,8
24,7,8
25,5,8
29,4,8
32,3,8
35,2,8
42,1,8
52,0,8
0,80,7
0,74,7
0,73,7
0,72,7
0,71,7
0,64,7
1,62,7
1,55,7
2,47,7
3,43,7
5,42,7
5,40,7
5,37,7
6,35,7
8,30,7
11,25,7
12,24,7
15,23,7
17,22,7
18,20,7
18,19,7
23,17,7
28,16,7
30,14,7
34,12,7
39,11,7
45,9,7
56,8,7
63,7,7
69,6,7
73,5,7
75,4,7
79,3,7
133,2,7
325,1,7
0,20,24
0,17,24
0,14,24
0,12,24
1,9,24
1,7,24
1,6,24
2,5,24
3,4,24
6,3,24
8,2,24
9,1,24
14,0,24
0,22,23
0,19,23
0,15,23
0,14,23
1,11,23
1,10,23
1,7,23
2,5,23
2,4,23
5,3,23
8,2,23
10,1,23
11,0,23
0,19,22
0,18,22
0,16,22
1,10,22
1,7,22
2,4,22
12,3,22
13,2,22
17,1,22
17,0,22
0,28,21
0,24,21
0,22,21
0,19,21
0,18,21
0,16,21
0,15,21
1,14,21
1,12,21
1,11,21
1,6,21
2,5,21
4,3,21
5,2,21
9,1,21
12,0,21
0,20,20
0,16,20
1,14,20
1,11,20
1,9,20
2,8,20
2,6,20
3,4,20
8,2,20
10,1,20
16,0,20
0,28,19
0,26,19
0,22,19
0,21,19
0,20,19
0,19,19
1,16,19
1,15,19
1,14,19
1,13,19
2,9,19
2,8,19
3,7,19
3,6,19
4,4,19
10,3,19
11,2,19
12,1,19
20,0,19
0,16,18
1,12,18
2,10,18
2,8,18
3,3,18
13,2,18
15,1,18
20,0,18
0,42,17
0,27,17
0,25,17
0,23,17
0,22,17
0,21,17
1,16,17
1,14,17
2,7,17
2,6,17
3,5,17
3,3,17
15,2,17
18,1,17
21,0,17
1,20,16
1,18,16
1,16,16
1,15,16
2,9,16
3,4,16
16,2,16
18,1,16
22,0,16
0,37,15
0,34,15
0,33,15
0,29,15
0,25,15
1,22,15
1,20,15
1,15,15
1,11,15
3,10,15
3,9,15
3,8,15
3,7,15
5,6,15
5,5,15
6,3,15
13,2,15
20,1,15
25,0,15
0,29,14
