Generation,Fitness_value,Chromatic_number
0,64,9
0,61,9
0,59,9
1,36,9
1,35,9
1,28,9
1,20,9
2,18,9
2,15,9
2,13,9
3,8,9
3,5,9
5,2,9
18,1,9
21,0,9
0,80,9
0,75,9
0,74,9
0,69,9
0,68,9
0,67,9
0,65,9
0,61,9
1,37,9
1,22,9
2,11,9
3,9,9
3,7,9
4,4,9
16,3,9
16,2,9
20,1,9
26,0,9
0,66,9
0,65,9
0,61,9
0,57,9
1,29,9
1,24,9
1,21,9
1,19,9
2,18,9
2,16,9
2,14,9
2,12,9
2,11,9
3,9,9
4,7,9
4,6,9
5,4,9
11,3,9
20,2,9
23,1,9
26,0,9
0,74,9
0,69,9
0,68,9
0,67,9
0,66,9
0,61,9
0,59,9
1,50,9
1,28,9
1,23,9
2,15,9
2,13,9
2,12,9
3,3,9
4,2,9
8,1,9
23,0,9
0,80,9
0,78,9
0,75,9
0,67,9
0,65,9
0,62,9
0,56,9
1,31,9
1,29,9
1,28,9
1,25,9
1,24,9
2,23,9
2,22,9
2,21,9
2,17,9
2,15,9
2,13,9
2,9,9
3,7,9
3,6,9
3,5,9
4,2,9
9,1,9
15,0,9
0,74,9
0,71,9
0,65,9
0,62,9
0,61,9
1,38,9
1,37,9
1,25,9
2,20,9
2,16,9
2,15,9
2,14,9
2,13,9
2,11,9
3,6,9
4,3,9
13,1,9
19,0,9
0,71,9
0,56,9
1,27,9
1,23,9
1,22,9
2,18,9
2,17,9
2,13,9
2,12,9
2,11,9
3,5,9
4,1,9
16,0,9
0,70,9
0,64,9
0,58,9
0,53,9
1,34,9
1,26,9
1,25,9
1,24,9
2,23,9
2,18,9
2,16,9
2,13,9
3,12,9
3,8,9
4,6,9
4,4,9
11,3,9
14,2,9
16,1,9
19,0,9
0,73,9
0,71,9
0,65,9
0,63,9
0,60,9
1,29,9
1,21,9
2,16,9
2,15,9
3,12,9
3,11,9
3,8,9
4,5,9
5,1,9
21,0,9
0,86,9
0,66,9
0,61,9
1,43,9
1,35,9
1,32,9
1,26,9
1,23,9
2,21,9
2,16,9
2,13,9
2,12,9
2,11,9
3,10,9
3,8,9
3,6,9
5,3,9
19,2,9
23,1,9
28,0,9
0,66,9
0,60,9
0,50,9
1,29,9
1,27,9
1,24,9
2,17,9
2,14,9
2,13,9
3,12,9
3,8,9
3,6,9
3,5,9
6,4,9
6,1,9
16,0,9
0,71,9
0,66,9
0,63,9
0,61,9
1,46,9
1,27,9
1,26,9
1,23,9
2,18,9
2,12,9
2,7,9
4,3,9
4,1,9
20,0,9
0,65,9
0,59,9
1,31,9
1,27,9
1,26,9
1,24,9
2,21,9
2,20,9
2,13,9
3,10,9
3,8,9
3,5,9
5,4,9
11,3,9
13,2,9
23,1,9
28,0,9
0,85,9
0,76,9
0,71,9
0,63,9
0,60,9
0,56,9
1,26,9
2,25,9
2,17,9
2,14,9
2,10,9
2,9,9
2,8,9
3,2,9
12,0,9
0,74,9
0,72,9
0,65,9
0,63,9
0,60,9
1,26,9
1,22,9
2,19,9
2,18,9
2,17,9
2,14,9
2,10,9
3,7,9
4,2,9
9,1,9
25,0,9
0,64,9
0,62,9
1,38,9
1,29,9
1,27,9
1,21,9
1,19,9
2,12,9
2,10,9
3,9,9
4,5,9
4,4,9
8,3,9
9,2,9
15,1,9
22,0,9
0,71,9
0,70,9
0,68,9
0,67,9
0,57,9
1,43,9
1,37,9
1,35,9
1,22,9
2,19,9
2,18,9
2,15,9
2,14,9
2,11,9
3,9,9
3,8,9
3,7,9
3,6,9
4,5,9
4,2,9
16,1,9
20,0,9
0,59,9
1,39,9
1,34,9
1,28,9
1,22,9
2,18,9
2,13,9
2,10,9
2,8,9
4,6,9
4,5,9
4,4,9
7,3,9
10,2,9
12,1,9
14,0,9
0,79,9
0,78,9
0,74,9
0,71,9
0,70,9
0,64,9
0,63,9
0,59,9
0,56,9
1,36,9
1,19,9
2,16,9
2,14,9
2,13,9
2,10,9
3,9,9
4,7,9
4,4,9
4,2,9
17,1,9
28,0,9
0,67,9
0,65,9
0,63,9
1,37,9
1,28,9
1,26,9
1,23,9
2,14,9
2,12,9
2,11,9
3,9,9
3,7,9
4,6,9
5,4,9
5,3,9
14,1,9
21,0,9
0,54,9
1,31,9
1,29,9
1,27,9
1,25,9
1,22,9
2,20,9
2,17,9
2,15,9
2,9,9
3,8,9
3,5,9
5,3,9
22,2,9
26,1,9
28,0,9
0,71,9
0,65,9
