Generation,Fitness_value,Chromatic_number
0,71,42
0,69,42
0,67,42
0,65,42
0,61,42
0,60,42
1,43,42
1,40,42
1,34,42
2,30,42
2,25,42
2,23,42
3,21,42
3,20,42
4,18,42
4,14,42
6,13,42
8,12,42
9,11,42
12,10,42
13,8,42
18,7,42
20,6,42
26,5,42
28,4,42
65,3,42
156,2,42
693,1,42
0,71,42
0,58,42
1,39,42
1,36,42
1,32,42
2,30,42
2,28,42
2,27,42
2,24,42
3,23,42
4,20,42
4,15,42
4,12,42
9,11,42
10,10,42
14,9,42
17,8,42
20,6,42
21,5,42
23,4,42
46,3,42
247,2,42
417,1,42
0,72,42
0,68,42
0,59,42
1,42,42
1,38,42
2,32,42
2,31,42
2,29,42
3,27,42
3,25,42
4,21,42
4,20,42
5,17,42
6,16,42
8,14,42
9,13,42
10,12,42
10,10,42
10,9,42
15,6,42
22,5,42
26,4,42
119,3,42
168,2,42
1723,1,42
2194,0,42
0,67,42
0,65,42
0,63,42
0,59,42
1,50,42
1,43,42
1,37,42
1,35,42
1,33,42
1,32,42
2,27,42
3,25,42
3,24,42
3,23,42
4,22,42
4,21,42
4,19,42
4,17,42
6,13,42
8,11,42
12,9,42
15,7,42
20,6,42
25,5,42
31,4,42
75,3,42
169,2,42
225,1,42
0,85,42
0,65,42
0,60,42
1,52,42
1,44,42
1,39,42
1,38,42
1,34,42
2,32,42
2,31,42
2,25,42
3,22,42
3,20,42
3,19,42
5,18,42
5,17,42
6,16,42
6,12,42
8,11,42
10,10,42
11,9,42
12,8,42
15,7,42
15,6,42
16,4,42
412,3,42
796,2,42
2638,1,42
0,73,42
0,65,42
0,64,42
0,63,42
0,60,42
1,56,42
1,52,42
1,50,42
1,44,42
1,43,42
1,36,42
1,35,42
1,29,42
2,28,42
2,27,42
2,24,42
3,20,42
4,17,42
5,15,42
7,13,42
8,11,42
9,10,42
12,7,42
20,6,42
24,4,42
590,3,42
1020,2,42
1284,1,42
0,70,42
0,66,42
0,65,42
0,64,42
0,59,42
1,43,42
1,41,42
1,37,42
1,34,42
1,28,42
2,24,42
3,23,42
3,18,42
5,17,42
5,14,42
6,13,42
7,12,42
8,11,42
8,9,42
10,8,42
12,7,42
14,6,42
20,5,42
24,4,42
26,3,42
119,2,42
1029,1,42
0,77,42
0,73,42
0,61,42
0,59,42
1,53,42
1,45,42
1,34,42
2,30,42
2,26,42
3,19,42
4,18,42
4,17,42
5,10,42
11,8,42
15,7,42
15,6,42
17,5,42
22,4,42
56,3,42
182,2,42
1296,1,42
1945,0,42
0,68,42
0,64,42
0,61,42
0,59,42
1,43,42
1,40,42
1,38,42
1,35,42
2,31,42
2,30,42
2,29,42
3,26,42
3,25,42
3,24,42
4,23,42
5,16,42
7,14,42
8,10,42
14,8,42
15,7,42
16,6,42
24,5,42
29,4,42
64,3,42
150,2,42
1134,1,42
1430,0,42
0,74,42
0,64,42
0,59,42
0,54,42
1,52,42
1,48,42
1,47,42
1,41,42
1,39,42
1,35,42
1,33,42
2,29,42
2,26,42
3,24,42
3,19,42
4,18,42
5,14,42
7,12,42
8,9,42
16,6,42
20,5,42
30,4,42
53,3,42
303,2,42
898,1,42
0,81,42
0,69,42
0,63,42
0,62,42
0,59,42
1,47,42
1,45,42
1,41,42
1,39,42
1,37,42
1,36,42
1,32,42
2,31,42
3,29,42
3,28,42
3,25,42
3,19,42
4,17,42
6,13,42
7,12,42
8,10,42
11,9,42
12,7,42
14,5,42
19,4,42
143,3,42
248,2,42
314,1,42
2740,0,42
0,71,42
0,69,42
0,67,42
0,62,42
0,61,42
0,54,42
1,53,42
1,51,42
1,38,42
1,34,42
2,31,42
2,30,42
2,24,42
3,22,42
3,20,42
5,18,42
5,17,42
6,14,42
7,11,42
9,10,42
14,9,42
14,8,42
16,7,42
17,6,42
20,5,42
23,4,42
109,3,42
242,2,42
469,1,42
0,66,42
0,59,42
1,44,42
1,32,42
2,27,42
2,24,42
2,20,42
3,19,42
4,18,42
4,16,42
6,15,42
7,14,42
7,13,42
9,12,42
11,10,42
12,9,42
14,8,42
15,5,42
22,4,42
40,3,42
200,2,42
0,70,42
0,67,42
0,65,42
0,61,42
0,59,42
1,52,42
1,45,42
1,42,42
1,39,42
1,38,42
1,37,42
1,35,42
2,34,42
2,30,42
2,24,42
2,22,42
3,14,42
5,13,42
7,11,42
8,10,42
10,9,42
16,8,42
16,7,42
19,6,42
22,5,42
24,3,42
214,2,42
281,1,42
0,65,42
0,61,42
1,54,42
1,49,42
1,46,42
1,33,42
2,27,42
2,26,42
3,25,42
3,23,42
4,21,42
5,20,42
5,15,42
7,13,42
9,11,42
10,10,42
12,9,42
16,8,42
19,7,42
22,5,42
26,4,42
34,3,42
160,2,42
236,1,42
1623,0,42
0,65,42
0,58,42
0,57,42
1,43,42
1,39,42
1,38,42
2,34,42
2,26,42
3,24,42
3,17,42
4,16,42
5,13,42
7,12,42
10,9,42
14,8,42
19,7,42
22,6,42
23,5,42
24,4,42
62,3,42
222,2,42
535,1,42
0,68,42
0,62,42
0,56,42
0,54,42
1,45,42
1,42,42
1,40,42
1,30,42
2,28,42
2,23,42
3,19,42
4,16,42
7,15,42
8,12,42
8,10,42
12,9,42
15,8,42
18,6,42
21,5,42
23,4,42
90,3,42
113,2,42
377,1,42
0,78,42
0,65,42
0,62,42
0,60,42
0,59,42
0,55,42
1,50,42
1,45,42
1,36,42
2,28,42
2,25,42
3,24,42
3,23,42
3,20,42
4,17,42
5,16,42
5,13,42
8,12,42
8,10,42
9,9,42
14,8,42
15,7,42
16,6,42
21,5,42
25,4,42
41,3,42
51,2,42
652,1,42
0,68,42
0,67,42
0,66,42
0,64,42
0,63,42
0,62,42
0,61,42
1,43,42
1,39,42
1,36,42
1,35,42
1,34,42
2,30,42
2,23,42
3,20,42
4,18,42
5,13,42
10,11,42
13,10,42
15,9,42
17,7,42
22,6,42
24,5,42
38,4,42
106,3,42
126,2,42
151,1,42
0,61,42
0,57,42
1,38,42
1,37,42
1,34,42
2,28,42
3,22,42
4,21,42
4,17,42
6,16,42
6,15,42
7,13,42
8,12,42
8,11,42
9,10,42
10,9,42
11,7,42
13,6,42
17,5,42
19,4,42
289,3,42
362,2,42
1755,1,42
0,75,42
0,68,42
0,67,42
0,61,42
0,59,42
0,56,42
1,44,42
1,43,42
1,34,42
2,29,42
2,28,42
2,23,42
3,21,42
5,18,42
6,10,42
9,8,42
15,7,42
18,6,42
22,5,42
23,4,42
79,3,42
278,2,42
359,1,42
3262,0,42
0,72,42
0,64,42
0,61,42
1,47,42
1,40,42
1,36,42
1,35,42
1,34,42
2,30,42
2,29,42
2,25,42
3,23,42
4,21,42
4,19,42
4,17,42
5,13,42
9,12,42
10,10,42
13,9,42
16,8,42
19,7,42
19,6,42
22,5,42
25,4,42
80,3,42
112,2,42
152,1,42
1006,0,42
0,67,42
0,65,42
0,57,42
1,39,42
1,38,42
2,34,42
2,33,42
2,30,42
2,28,42
3,27,42
3,24,42
4,23,42
4,20,42
5,19,42
5,17,42
6,16,42
7,14,42
8,13,42
9,11,42
9,10,42
10,8,42
14,7,42
15,6,42
18,5,42
23,4,42
92,3,42
123,2,42
938,1,42
0,72,42
0,65,42
0,60,42
1,51,42
1,49,42
1,45,42
1,44,42
1,39,42
1,38,42
1,37,42
1,36,42
1,34,42
2,26,42
3,21,42
4,17,42
6,15,42
6,14,42
7,10,42
10,8,42
12,5,42
20,4,42
68,3,42
100,2,42
1010,1,42
0,63,42
0,62,42
0,60,42
0,58,42
0,49,42
1,40,42
1,35,42
1,33,42
1,29,42
2,27,42
2,22,42
3,19,42
4,18,42
5,14,42
6,10,42
7,9,42
14,7,42
21,6,42
22,5,42
26,4,42
50,3,42
218,2,42
316,1,42
334,0,42
0,81,42
0,79,42
0,73,42
0,67,42
0,63,42
0,59,42
1,47,42
1,45,42
1,44,42
1,35,42
1,34,42
2,30,42
2,29,42
2,28,42
3,26,42
3,23,42
3,19,42
5,18,42
6,17,42
6,15,42
7,14,42
8,12,42
10,10,42
12,9,42
13,8,42
21,7,42
22,5,42
27,4,42
42,3,42
100,2,42
3521,1,42
0,75,42
0,69,42
0,66,42
0,64,42
0,63,42
0,60,42
1,52,42
1,39,42
1,35,42
2,28,42
2,26,42
2,22,42
3,21,42
4,18,42
4,16,42
5,15,42
5,13,42
6,12,42
7,11,42
7,9,42
10,8,42
11,7,42
13,6,42
17,5,42
22,4,42
57,3,42
64,2,42
455,1,42
513,0,42
0,60,42
0,59,42
0,55,42
1,50,42
1,48,42
1,35,42
2,27,42
3,24,42
3,23,42
4,17,42
6,12,42
9,10,42
11,9,42
12,8,42
13,6,42
14,5,42
19,4,42
391,3,42
495,2,42
603,1,42
2653,0,42
0,78,42
0,73,42
0,70,42
0,68,42
0,67,42
0,59,42
1,46,42
1,42,42
1,38,42
1,35,42
2,27,42
3,25,42
3,21,42
4,20,42
5,19,42
5,17,42
6,15,42
6,11,42
8,10,42
11,9,42
11,8,42
14,6,42
17,5,42
21,4,42
37,3,42
72,2,42
182,1,42
1920,0,42
0,74,42
0,69,42
0,67,42
0,63,42
1,59,42
1,35,42
1,32,42
2,31,42
2,27,42
2,25,42
3,24,42
3,17,42
5,16,42
6,15,42
8,13,42
9,12,42
11,8,42
14,6,42
18,5,42
26,4,42
191,3,42
398,2,42
523,1,42
