Generation,Fitness_value,Chromatic_number
0,34,5
0,31,5
0,30,5
1,29,5
1,27,5
1,26,5
1,23,5
1,20,5
2,13,5
10,12,5
16,10,5
19,9,5
21,8,5
25,7,5
27,6,5
31,5,5
32,4,5
32,3,5
34,2,5
37,0,5
0,33,5
0,31,5
0,29,5
0,27,5
1,26,5
1,21,5
1,18,5
3,17,5
5,16,5
8,14,5
10,13,5
11,9,5
15,8,5
21,7,5
31,6,5
32,5,5
33,4,5
42,3,5
50,2,5
51,0,5
0,35,5
0,34,5
0,30,5
0,29,5
0,28,5
1,27,5
1,26,5
1,24,5
2,20,5
3,17,5
5,16,5
9,15,5
12,13,5
15,12,5
22,10,5
25,8,5
30,7,5
33,5,5
36,3,5
40,2,5
45,0,5
0,34,5
0,29,5
0,28,5
1,25,5
1,22,5
2,21,5
3,20,5
4,19,5
4,16,5
6,15,5
9,13,5
10,12,5
13,11,5
16,10,5
19,9,5
19,7,5
36,6,5
58,5,5
63,4,5
65,3,5
70,2,5
77,0,5
0,42,5
0,33,5
0,28,5
1,27,5
1,25,5
1,24,5
2,23,5
2,22,5
2,20,5
3,19,5
4,18,5
6,17,5
8,16,5
9,14,5
12,10,5
17,9,5
18,8,5
22,7,5
24,6,5
25,5,5
25,4,5
27,3,5
30,0,5
0,33,5
0,30,5
0,29,5
0,26,5
1,25,5
1,24,5
2,23,5
2,21,5
2,17,5
5,16,5
6,15,5
9,14,5
12,13,5
19,12,5
23,11,5
23,10,5
24,8,5
43,7,5
47,6,5
62,5,5
63,3,5
71,2,5
76,0,5
0,36,5
0,35,5
0,34,5
0,26,5
1,25,5
1,22,5
2,21,5
3,20,5
5,18,5
6,17,5
9,16,5
10,14,5
11,12,5
15,11,5
18,7,5
25,5,5
31,3,5
40,0,5
0,36,5
0,33,5
0,31,5
0,30,5
0,24,5
1,19,5
4,18,5
6,16,5
7,14,5
9,12,5
16,11,5
18,10,5
21,9,5
47,8,5
48,7,5
53,6,5
53,5,5
61,4,5
0,36,5
0,33,5
0,30,5
0,28,5
1,24,5
2,23,5
2,22,5
2,20,5
3,18,5
9,15,5
11,14,5
20,13,5
26,12,5
26,11,5
30,10,5
34,8,5
44,7,5
44,6,5
49,5,5
50,4,5
55,3,5
58,2,5
59,0,5
0,33,5
0,29,5
0,28,5
1,24,5
1,23,5
2,22,5
3,21,5
3,20,5
3,19,5
5,14,5
8,12,5
12,10,5
21,9,5
21,8,5
23,7,5
25,6,5
38,4,5
52,3,5
67,2,5
69,0,5
0,35,5
0,33,5
0,30,5
0,28,5
1,25,5
1,24,5
1,23,5
2,22,5
3,18,5
4,17,5
10,16,5
10,15,5
11,14,5
13,13,5
17,11,5
19,10,5
23,9,5
28,7,5
30,5,5
45,3,5
50,2,5
53,0,5
0,29,5
1,21,5
2,20,5
3,18,5
3,16,5
